SMILES,frag_list,LogVP
Cc1cc(ccc1)C(=O)N(CC)CC,"[192.138, 193.141, 119.048, 119.049, 192.138, 193.141, 119.049, 120.052, 192.137, 119.049, 118.064, 120.051, 119.049, 192.138, 100.076, 119.049, 192.139, 100.076, 192.138, 119.049, 192.139, 119.049, 72.044, 119.049, 192.138, 100.076, 119.049, 192.138, 91.054, 119.049, 91.054, 119.061, 91.054, 119.049, 119.061, 192.138, 119.049, 176.107, 192.138, 119.049, 100.076, 119.049, 192.138, 72.044, 119.049, 192.138, 91.054, 119.049, 91.054, 119.06, 91.054, 119.049, 119.06, 119.049, 192.138, 100.076, 192.138, 119.049, 91.054, 119.049, 91.054, 72.045, 91.054, 65.039, 44.013, 119.049, 192.139, 91.055, 119.049, 91.054, 109.065, 119.049, 192.139, 100.076, 119.049, 100.076, 91.055, 77.039, 105.045, 95.049, 77.039, 105.045, 95.049, 77.039, 105.045, 77.039, 105.045]",-2.699
C/C(=C\C(=O)NC)/OP(=O)(OC)OC,"[193.027, 127.016, 167.047, 127.016, 128.019, 193.026, 127.016, 128.019, 109.005, 127.016, 128.019, 109.005, 127.015, 109.004, 129.019]",-5.6615
CC(C)N(C(=O)COc1[n][n]c([s]1)C(F)(F)F)c1ccc(F)cc1,"[194.097, 364.074, 152.05, 152.05, 194.097, 124.055, 152.05, 124.055, 152.087, 152.05, 124.055, 152.087, 124.055, 152.05, 152.087, 152.051, 194.098, 124.056, 194.097, 152.051, 124.055, 194.097, 152.051, 364.073, 152.051, 194.097, 152.087, 152.051, 124.056, 152.087, 124.056, 152.051, 109.045, 124.056, 109.045, 152.05, 124.056, 97.045, 109.045, 194.097, 152.051, 364.073, 152.051, 194.097, 152.087, 152.051, 124.056, 152.087, 124.056, 152.05, 109.045, 124.056, 109.045, 152.05, 124.056, 97.045, 109.045, 194.097, 152.051, 124.056]",-6.1707
Oc1cc2c(cc1)C(=O)c1ccccc1C2=O,"[197.06, 153.07, 105.033, 197.06, 153.07, 169.065]",-10.1646
Oc1cccc2c1C(=O)c1ccccc1C2=O,"[197.06, 153.07, 105.034, 197.06, 153.07, 105.033]",-6.6792
COc1[n]c(NCC)[n]c(NCC)[n]1,"[198.135, 114.066, 170.104, 198.135, 198.135, 124.087, 170.104, 198.135, 124.087, 128.082, 198.135, 128.082, 124.087, 100.051, 128.082, 68.024, 100.051, 68.024, 96.056, 198.135, 183.112, 198.135, 124.087, 114.066, 198.135, 128.082, 124.087, 198.135, 128.082, 124.087, 100.051, 128.082, 68.024, 100.051, 68.024, 96.056, 198.135, 114.066, 170.104]",-5.6198
CNC(=O)CSP(=S)(OC)OC,"[198.966, 230.008, 170.97, 124.982, 170.97, 142.993, 124.982, 142.993, 156.954, 124.982, 142.993, 156.954, 124.982, 142.993, 123.998, 142.993, 198.965, 170.97, 198.965, 170.97, 197.981, 198.965, 170.97, 230.007, 170.97, 198.965, 124.982, 124.982, 142.993, 170.97, 124.982, 142.993, 156.954, 124.982, 142.993, 78.994, 124.982, 142.993, 78.994, 198.965, 170.97, 230.007, 170.97, 198.965, 124.982, 124.982, 142.993, 170.97, 124.982, 142.993, 156.954, 124.982, 142.993, 78.994, 124.982, 142.993, 78.994, 198.965, 170.97, 197.981, 124.982, 142.993, 170.97, 124.982, 142.993, 78.994, 198.965, 170.97, 88.021, 198.964, 170.97, 88.021]",-4.727
CC(C)N1C(=O)c2ccccc2NS1(=O)=O,"[199.017, 199.017, 199.017, 135.055, 120.045, 199.017, 135.055, 120.044, 107.06, 135.055, 120.044, 107.06, 120.044, 92.049, 107.06, 80.049, 120.044, 199.017, 199.017, 120.044, 199.017, 135.055, 107.06, 107.06, 120.044, 135.055, 107.06, 120.044, 80.049, 107.06, 80.049, 120.044, 199.017]",-5.4622
CSc1[n]c(NC(C)C)[n]c(NC(C)C)[n]1,"[200.097, 158.05, 242.143, 242.144, 158.049, 242.144, 200.097, 158.049, 242.143, 200.097, 158.05, 158.05, 200.096, 68.024, 158.05, 68.024, 116.028, 158.049, 68.024, 116.028, 242.144, 200.097, 227.12, 242.144, 200.096, 158.05, 242.143, 200.097, 158.05, 158.05, 200.096, 68.024, 158.05, 68.024, 116.028, 158.05, 68.024, 116.028, 200.097, 158.05, 242.143, 158.049, 200.096, 242.143, 158.049, 116.028, 85.051, 200.096, 158.049, 242.143, 200.096, 158.049, 152.118]",-5.9066
Cc1cc(C)[n]c(Nc2ccccc2)[n]1,"[200.118, 107.06, 183.092, 200.118, 200.118, 200.118, 183.091, 82.065, 200.118, 183.092, 107.06, 200.118, 183.092, 107.06, 200.118, 82.065, 107.06, 200.118, 200.118, 200.118, 107.06, 183.092, 200.118, 183.092, 107.06, 200.118, 183.092, 107.06, 200.118, 82.065, 107.06, 200.118, 107.06, 183.092]",-4.7825
Oc1ccc2ccc3cccc4ccc1c2c34,"[201.07, 191.081, 191.086, 201.07, 203.143, 202.077]",-8.3161
c1[n]c(c[s]1)-c1[nH]c2ccccc2[n]1,"[202.045, 175.033, 131.061, 175.032, 131.06, 202.043, 131.06, 175.032, 143.06, 202.043, 175.032, 131.06, 202.043, 175.033, 65.039, 202.043, 175.033, 65.038, 202.043, 175.032, 131.06, 202.043, 175.032, 131.06, 175.032, 202.043, 131.06, 175.032, 131.06, 202.043, 202.043, 175.032, 158.071, 175.032, 202.043, 131.06, 202.043, 175.032, 158.071, 175.032, 158.071, 131.06]",-8.3979
CCNc1[n]c(Cl)[n]c(NCC)[n]1,"[202.085, 204.082, 203.087, 202.085, 132.031, 124.086, 132.031, 124.087, 202.084, 146.023, 202.085, 79.006, 124.087, 202.086, 132.032, 202.085, 124.087, 202.086, 124.087, 132.032, 202.086, 132.032, 124.087, 132.032, 202.085, 124.087, 104.001, 68.024, 132.032, 68.024, 104.001, 96.056, 202.085, 71.06, 202.085, 124.087, 132.032, 202.085, 132.032, 124.087, 202.085, 132.032, 124.087, 104.001, 68.024, 96.056, 104.001, 68.024, 96.056, 202.085, 124.087, 132.032, 202.085, 132.032, 124.087, 104.001, 96.055, 132.032, 202.085, 124.087, 132.032, 124.087, 132.032, 174.054]",-7.6556
COc1c(C(O)=O)c(Cl)ccc1Cl,"[202.966, 202.965, 202.967, 202.966, 202.966, 202.966]",-4.4711
CC1=NN=C(C(=O)N1N)c1ccccc1,"[203.093, 204.095, 175.096, 203.093, 175.097, 145.038, 175.096, 203.091, 174.077, 175.097, 118.052, 203.093, 175.098, 104.049, 175.098, 174.079, 106.065, 203.093, 203.093, 175.098, 174.079, 203.093, 175.098, 174.079, 175.098, 203.092, 104.049, 104.049, 175.098, 174.079, 104.049, 77.039, 175.098, 203.093, 175.097, 104.049, 203.093, 175.098, 174.079, 203.093, 175.098, 174.079, 175.098, 203.093, 104.049, 104.05, 175.098, 77.039, 104.049, 77.039, 175.098, 175.098, 174.079, 106.065, 175.098, 203.093, 104.049, 104.049, 175.098, 77.038, 203.093, 175.098, 174.079, 175.098, 174.079, 106.065]",-8.1904
CC1NC(=O)N(C(C)CC)C(=O)C=1Br,"[204.961, 204.961, 261.024, 206.956, 204.961, 261.023, 187.933, 204.961, 187.934, 161.955, 204.961, 187.934, 161.955, 204.961, 187.934, 161.955, 131.944, 187.934, 161.955, 204.961, 261.023, 204.961, 261.023, 161.955, 204.961, 187.934, 161.955, 204.961, 187.934, 161.955, 204.961, 187.934, 161.955, 131.944, 187.934, 161.955, 204.961, 206.956]",-6.5129
CCCCCCCCSC(=O)Oc1cc(Cl)[n][n]c1-c1ccccc1,"[207.032, 351.129, 319.157, 207.032, 71.085, 57.07, 207.032, 57.07, 71.085, 207.032, 104.049, 57.07, 104.049, 207.032, 68.013, 68.013, 95.049, 104.049, 68.013, 95.049, 105.045, 68.013, 51.023, 95.049, 51.023, 68.013, 50.015]",-9.011
CCOC(=O)C1CC(=O)C(=C(O)C2CC2)C(=O)C1,"[207.065, 185.081, 179.07, 253.107, 207.065, 185.081, 207.065, 69.034, 253.107, 69.034, 165.018, 139.039, 69.034, 137.023, 139.039, 69.034, 68.997, 111.044, 69.033, 68.997, 111.044, 253.107, 207.065, 185.081, 207.065, 69.034, 253.107, 69.034, 165.018, 139.039, 69.034, 137.023, 139.039, 69.034, 68.997, 111.044, 69.034, 68.997, 111.044, 207.065, 185.081, 179.07]",-4.7905
CN(C)C(=O)Nc1ccc(cc1)C(C)C,"[207.149, 208.152, 165.101, 207.149, 165.101, 134.095, 134.096, 165.101, 162.089, 134.095, 119.072, 118.064, 118.065, 119.071, 134.096, 72.044, 207.149, 165.102, 72.044, 165.102, 207.149, 207.149, 72.044, 165.102, 207.149, 72.044, 165.102, 72.044, 207.149, 165.102, 72.044, 165.102, 134.096, 72.044, 134.096, 91.054, 72.044, 134.096, 91.054, 207.149, 72.044, 165.102, 207.149, 72.044, 165.102, 72.044, 207.149, 165.102, 72.044, 165.102, 134.096, 72.044, 134.096, 91.054, 72.044, 134.096, 91.054, 72.044, 165.102, 207.149, 72.044, 165.102, 134.096, 72.044, 134.096, 107.085, 72.044, 165.102, 162.091, 72.044, 165.102, 162.091]",-7.6073
C=CCN(CC=C)C(=O)C(Cl)Cl,"[208.03, 210.027, 139.967, 139.966, 208.03, 141.962]",-2.2218
CC(C)N(C(=O)CCl)c1ccccc1,"[212.083, 170.036, 214.08, 170.036, 172.033, 171.039, 170.036, 172.033, 152.025, 152.025, 170.036, 172.033, 170.037, 212.084, 94.065, 170.037, 152.026, 212.085, 212.084, 170.037, 152.025, 170.037, 212.084, 152.026, 170.037, 152.026, 212.083, 170.037, 94.065, 106.065, 94.065, 106.065, 170.037, 94.065, 106.065, 77.038, 212.084, 170.037, 152.026, 170.037, 212.084, 152.026, 170.037, 212.084, 152.026, 170.037, 94.065, 106.065, 94.065, 106.065, 170.037, 94.065, 106.065, 77.039, 170.037, 152.026, 212.084]",-3.6383
CNC(=O)CSP(=O)(OC)OC,"[214.031, 182.988, 196.02, 124.982, 154.993, 142.993, 124.983, 142.993, 154.993, 124.983, 142.993, 127.016, 124.983, 142.993, 127.016]",-4.6055
Cc1c(c(NC(CC)CC)c(cc1C)[N+]([O-])=O)[N+]([O-])=O,"[214.071, 176.143, 212.067, 212.067, 71.085, 194.056, 212.067, 194.056, 71.085, 194.056, 212.067, 118.052, 91.042, 148.063, 119.06, 119.06, 91.042, 92.049, 92.049, 119.06, 65.039, 194.056, 148.063, 118.053, 119.06, 148.063, 92.049, 212.066, 194.056, 266.02, 212.067, 194.056, 266.019]",-4.5229
CCNc1[n]c(Cl)[n]c(NC(C)(C)C#N)[n]1,"[214.086, 205.12, 174.054, 241.096, 214.085, 71.06, 241.097, 214.086, 205.12, 214.085, 241.097, 174.054, 214.085, 104.001, 132.032, 104.001, 68.024, 96.056, 104.001, 68.024, 71.06, 241.096, 214.085, 241.096, 214.085, 205.12, 214.085, 241.096, 174.054, 214.085, 104.001, 132.032, 104.001, 68.024, 96.056, 104.001, 68.024, 71.06, 214.085, 205.12, 174.054]",-6.8601
CCOP(=O)(SCCC)SCCC,"[215.033, 243.064, 172.986, 172.986, 130.939, 114.961, 130.939, 114.961, 172.986, 130.939, 114.961, 96.951, 114.961, 96.951, 130.939, 114.961, 96.951, 130.939, 114.961, 96.951, 64.979, 64.979, 114.961, 94.918, 64.979, 94.917, 114.961]",-3.4202
CN(OC)C(=O)Nc1ccc(Cl)cc1,"[215.058, 126.01, 148.063, 126.01, 148.063, 215.058, 126.01, 148.063, 127.018, 126.01, 127.018, 98.999, 98.999, 126.01, 127.018, 98.999, 127.018, 126.01]",-3.8239
CSC1=NN=C(C(=O)N1N)C(C)(C)C,"[215.096, 216.098, 217.092, 215.096, 187.101, 216.098, 187.1, 215.095, 131.038, 156.058, 131.038, 184.053, 156.058, 141.036, 140.039, 215.096, 187.101, 84.081, 187.101, 186.082, 131.027, 215.096, 215.096, 187.101, 186.082, 215.096, 187.101, 186.082, 187.101, 215.095, 131.039, 187.101, 74.006, 131.039, 74.006, 59.99, 58.04, 215.096, 186.083, 187.101, 215.096, 187.101, 186.082, 215.096, 187.101, 186.082, 187.101, 215.096, 131.039, 187.101, 74.006, 131.039, 74.006, 59.99, 58.04, 187.101, 186.082, 131.027]",-6.3615
CCNc1[n]c(Cl)[n]c(NC(C)C)[n]1,"[216.101, 218.098, 217.103, 174.053, 216.101, 176.05, 174.053, 132.032, 176.05, 146.022, 132.032, 174.053, 146.022, 132.032, 138.076, 216.101, 174.054, 96.056, 174.054, 138.103, 96.056, 216.101, 216.101, 174.055, 96.056, 174.054, 216.101, 104.001, 174.054, 104.001, 132.032, 104.001, 174.054, 68.024, 104.001, 68.024, 79.006, 216.101, 216.101, 174.054, 96.055, 174.054, 216.101, 104.001, 174.054, 104.001, 132.032, 174.054, 104.001, 68.024, 104.001, 68.024, 79.006, 174.054, 138.103, 96.056, 174.054, 216.101, 104.001, 104.001, 174.054, 96.055, 174.054, 216.101, 138.103, 174.054, 138.103, 96.056, 174.054, 216.101, 96.056, 174.054, 216.101, 138.102]",-6.5391
COCC(=O)N(c1c(C)cccc1C)N1CCOC1=O,"[219.113, 102.055, 132.081, 219.113, 133.089, 132.081, 133.089, 132.081, 119.086, 132.081, 133.089, 117.057, 132.081, 133.089, 117.057, 132.081, 117.057, 118.065]",-7.6055
COCC(=O)N(C(C)C(=O)OC)c1c(C)cccc1C,"[220.133, 192.138, 160.112, 248.128, 220.133, 192.138, 280.154, 248.128, 220.133, 192.138, 220.133, 160.112, 192.138, 160.112, 220.133, 160.112, 192.138, 148.112, 160.112, 134.096, 132.081, 132.081, 134.096, 160.112, 280.154, 248.128, 220.133, 192.138, 220.133, 160.112, 192.138, 160.112, 220.133, 160.112, 192.138, 148.112, 160.112, 134.096, 145.089, 132.081, 134.096, 160.112, 248.128, 220.133, 192.138]",-4.9279
NC1C=NN(C(=O)C=1Cl)c1ccccc1,"[222.042, 224.04, 223.045, 222.042, 224.04, 146.01, 146.011, 222.042, 128.984, 146.011, 130.064, 150.01, 222.043, 104.049, 92.049, 104.049, 222.043, 186.066, 222.043, 77.038, 222.043, 104.05, 77.038, 222.043, 104.05, 92.049, 222.043, 104.049, 92.049, 92.05, 104.05, 222.043, 92.049, 77.039, 65.039, 222.043, 77.038, 222.043, 104.049, 222.043, 104.049, 92.049, 222.043, 104.049, 92.049, 92.049, 104.049, 222.043, 92.049, 77.039, 65.039, 104.049, 186.066, 193.029, 222.043, 104.049, 92.049, 92.049, 104.049, 77.038, 222.043, 104.049, 186.066, 104.049, 186.066, 205.016]",-6.3468
CN(C)S(=O)(=O)N(SC(F)(Cl)Cl)c1ccccc1,"[223.949, 225.946, 224.952, 223.949, 123.013, 225.946, 123.013, 223.949, 225.946, 123.013, 122.005, 223.95, 223.95, 123.013, 121.088, 123.014, 223.95, 121.089, 123.014, 223.95, 121.089, 123.014, 95.049, 96.003, 123.014, 95.049, 96.003, 123.014, 95.049, 96.003]",-6.9508
COCCN(C(=O)CCl)c1c(C)cccc1C,"[224.084, 256.11, 226.081, 224.084, 226.081, 148.111, 148.111, 224.084, 226.081, 148.111, 133.087, 224.083, 148.111, 133.087, 118.064, 224.084, 148.112, 256.11, 224.084, 224.084, 256.11, 224.084, 256.11, 148.112, 224.084, 148.112, 132.081, 148.112, 224.084, 132.081, 148.112, 105.07, 132.081, 148.112, 105.07, 132.081, 224.084, 256.11, 173.015, 224.084, 256.11, 148.112, 224.084, 148.112, 132.081, 148.112, 224.084, 132.081, 148.112, 105.07, 132.081, 148.112, 105.07, 132.081, 224.084]",-4.9469
Cc1cc(C#CC)[n]c(Nc2ccccc2)[n]1,"[224.119, 106.065, 223.11, 224.119, 106.065, 183.092, 224.119, 106.065, 209.095, 224.119, 106.065, 209.095, 106.065, 224.119, 104.05, 106.065, 95.049, 79.054]",-6.7595
Cc1cc([n]c(Nc2ccccc2)[n]1)C1CC1,"[226.134, 210.102, 144.081, 226.134, 226.134, 226.134, 108.081, 133.076, 226.134, 108.081, 133.076, 226.134, 108.081, 93.057, 93.057, 226.135, 108.081, 226.134, 226.134, 226.134, 108.081, 185.107, 226.134, 108.081, 133.076, 226.134, 108.081, 93.057, 93.057, 108.081, 91.054, 226.134, 210.102, 185.107]",-5.4342
COc1[n]c(NC(C)C)[n]c(NC(C)C)[n]1,"[226.166, 227.169, 184.118, 226.166, 184.118, 142.071, 142.071, 184.118, 226.166, 142.072, 184.119, 143.074, 142.071, 143.075, 125.045, 184.119, 142.072, 226.166, 226.166, 226.167, 184.119, 142.073, 226.166, 184.119, 142.072, 142.072, 184.119, 226.166, 142.072, 100.051, 86.035, 142.072, 86.035, 100.051, 226.166, 184.119, 211.142, 226.166, 184.119, 142.072, 226.166, 184.119, 142.072, 142.072, 184.119, 226.166, 142.072, 86.035, 100.051, 142.072, 86.035, 100.051, 184.119, 142.072, 226.166]",-5.6383
CC(CC)SP(=O)(OCC)N1CCSC1=O,"[227.991, 104.016, 199.959, 104.016, 227.991, 199.96, 104.016, 199.959, 137.959, 104.016, 137.959, 199.96, 104.016, 137.959, 61.011]",-5.3768
CCNc1[n]c(NC(C)C)[n]c([n]1)SC,"[228.128, 186.081, 96.056, 228.128, 186.081, 96.055, 228.128, 186.081, 96.056, 186.081, 228.128, 96.056, 186.081, 96.056, 91.032, 96.056, 186.081, 68.024, 68.024, 96.056, 71.06, 186.081, 228.128, 96.056, 96.055, 116.028, 186.081, 186.081, 228.128, 96.056, 186.081, 138.103, 96.056]",-5.5622
COc1ccc(cc1Cl)NC(=O)N(C)C,"[229.074, 72.044, 184.016, 72.044, 229.074, 156.021, 72.044, 156.021, 229.074, 72.044, 156.021, 149.047, 72.044, 156.021, 106.029, 72.044, 106.029, 156.021, 72.044, 80.013, 56.013, 72.044, 56.013, 52.018, 72.044, 52.018, 56.013]",-4.4908
CCNc1[n]c(Cl)[n]c(NC(C)(C)C)[n]1,"[230.116, 232.113, 174.053, 174.053, 176.05, 230.116, 174.053, 176.05, 132.031, 174.053, 132.031, 146.022, 174.054, 230.117, 96.056, 174.054, 230.117, 230.117, 174.054, 79.006, 174.054, 230.117, 146.023, 174.054, 132.032, 146.023, 174.054, 104.001, 68.024, 68.024, 104.001, 79.006, 230.117, 174.054, 230.117, 174.054, 132.032, 174.054, 230.117, 146.023, 174.054, 132.032, 146.023, 174.054, 104.001, 68.024, 104.001, 68.024, 79.006, 174.054, 174.054, 132.032, 146.023, 104.001, 174.054, 96.055, 174.054, 230.117, 174.054]",-5.9508
CN(C)C(=O)Nc1cc(Cl)c(Cl)cc1,"[233.024, 235.021, 187.965, 159.97, 161.967, 187.965, 159.97, 161.967, 132.96, 132.959, 125.001, 134.957, 72.044, 233.024, 159.972, 72.044, 233.024, 72.044, 233.024, 72.044, 187.966, 72.044, 233.024, 159.971, 72.044, 159.971, 187.966, 72.044, 159.971, 132.961, 72.044, 159.971, 132.961, 233.024, 72.044, 233.024, 72.044, 187.966, 72.044, 233.024, 187.966, 72.044, 159.971, 187.966, 72.044, 159.971, 132.961, 72.044, 159.971, 132.961, 72.044, 187.966]",-7.1612
CN(C)C(=O)Nc1cc(ccc1)C(F)(F)F,"[233.09, 72.044, 213.083, 72.044, 233.09, 213.083, 72.044, 233.09, 188.032, 72.044, 160.037, 168.026, 72.044, 160.037, 145.026, 72.044, 145.026, 160.037, 72.044, 145.026, 56.013, 72.044, 56.013, 75.023, 72.044, 75.023, 56.013]",-6.0278
CCOP(=S)(Oc1ccc(cc1)[N+]([O-])=O)OCC,"[235.977, 264.009, 292.04, 235.977, 140.034, 253.988, 235.978, 140.034, 94.041, 94.041, 114.961, 123.031, 94.041, 114.961, 123.031, 94.041, 114.961, 123.031]",-5.1752
Nc1c(Cl)c(F)[n]c(OCC(O)=O)c1Cl,"[236.963, 208.968, 196.968, 254.973, 236.963, 208.968, 208.968, 196.968, 236.962, 180.973, 208.968, 196.968, 180.973, 196.968, 208.968, 180.973, 196.968, 163.007, 146.004, 151.946, 180.973, 254.973, 236.962, 208.968, 208.968, 196.968, 236.963, 180.973, 208.968, 196.968, 180.973, 196.968, 208.968, 180.973, 196.968, 163.007, 146.004, 151.946, 180.973, 236.963, 208.968, 196.968]",-10.5467
OC(=O)COc1[n]c(Cl)c(Cl)cc1Cl,"[237.923, 209.927, 197.927, 255.933, 237.922, 209.927, 209.928, 197.927, 237.922, 209.928, 181.933, 197.928, 145.956, 163.966, 181.933, 145.956, 179.917, 163.966, 179.917, 145.956, 109.979, 255.933, 237.922, 209.927, 209.927, 197.927, 237.922, 209.927, 181.932, 197.927, 145.956, 163.966, 181.933, 179.917, 145.956, 163.966, 179.917, 145.956, 109.979, 237.922, 209.927, 197.927]",-5.8996
CN(SN(CCC(=O)OCC)Cc1ccccc1)C(=O)O/N=C(/C)\SC,"[238.09, 138.037, 91.054, 91.054, 138.037, 150.037, 91.054, 150.037, 138.037, 91.054, 73.028, 150.037, 91.054, 73.028, 123.026, 91.054, 73.028, 123.026]",-7.4559
CC(C)NC(=O)N1CC(=O)N(c2cc(Cl)cc(Cl)c2)C1=O,"[244.988, 330.041, 287.994, 244.988, 216.993, 287.994, 244.988, 161.987, 173.987, 173.987, 56.013, 161.987, 173.987, 56.013, 161.987, 56.013, 173.987, 98.984]",-8.426
O=C(Nc1ccccc1)Nc1cc(Cl)[n]cc1,"[248.058, 129.021, 155.001, 129.021, 155.001, 248.059, 129.021, 155.001, 111.055, 129.021, 111.055, 155.001, 111.055, 129.021, 93.045, 111.055, 129.021, 93.045, 111.055, 66.034, 93.045, 66.034, 111.055, 56.05, 66.034, 52.018, 67.029]",-9.4622
CS(=O)(=O)c1cc(ccc1C(=O)c1c[n]oc1C1CC1)C(F)(F)F,"[250.998, 360.051, 283.025, 250.999, 283.025, 69.034, 250.999, 220.988, 219.98, 250.999, 219.98, 189.016, 219.98, 160.013, 250.999, 132.018, 163.99, 101.02, 125.02, 101.02, 143.011, 75.023, 125.02, 143.011, 75.023, 74.015, 63.023]",-8.1249
CC1COC(C[n]2c[n]c[n]2)(O1)c1ccc(cc1Cl)Oc1ccc(Cl)cc1,"[251.002, 406.072, 337.039, 337.039, 251.002, 291.033, 406.072, 337.039, 251.003, 251.003, 337.039, 406.073, 251.002, 264.982, 291.034, 251.002, 188.039, 223.007, 251.003, 188.039, 139.006, 139.006, 188.039, 141.01, 406.071, 337.039, 251.002, 337.039, 406.072, 251.002, 264.981, 291.033, 251.002, 188.039, 223.007, 188.039, 251.002, 139.006, 139.006, 188.039, 153.07, 337.039, 251.002, 291.034]",-9.6021
CCCOCCN(C(=O)CCl)c1c(CC)cccc1CC,"[252.115, 312.173, 176.144, 252.115, 176.143, 312.172, 252.115, 176.143, 146.096, 176.143, 252.115, 147.104, 147.104, 176.143, 105.07, 132.081, 147.104, 105.07]",-6.0013
C1COCCN1Sc1[n]c2ccccc2[s]1,"[253.047, 86.06, 87.068]",-5.4763
CCCCC/C=C\C/C=C\CCCCCCCC(O)=O,"[263.237, 245.226, 97.101, 97.101, 83.085, 69.07, 69.07, 81.07, 83.085, 69.07, 81.07, 95.085, 81.07, 67.054, 69.07, 67.054, 81.07, 91.054]",-6.0615
COP(=S)(Oc1ccc(cc1)[N+]([O-])=O)OC,"[264.009, 142.993, 249.994]",-5.4559
O=C(Nc1ccc(F)cc1F)c1ccc[n]c1Oc1cc(ccc1)C(F)(F)F,"[266.042, 395.082, 246.036, 266.042, 375.075, 246.036, 395.081, 266.042, 395.081, 375.075, 266.042, 246.036, 233.053, 266.042, 246.036, 238.047, 238.047, 218.041, 183.042, 218.041, 169.052, 190.046, 395.081, 219.048, 266.042, 395.081, 375.074, 266.042, 246.036, 233.052, 266.042, 238.047, 246.036, 238.047, 218.041, 266.042, 218.041, 183.042, 169.052, 266.042, 375.075, 246.036, 266.043, 246.036, 238.048, 218.041, 238.048, 183.042, 266.042, 375.075, 246.036, 266.042, 375.075, 246.036]",-7.4976
Cc1ccccc1OCc1ccccc1/C(=N\OC)/C(=O)OC,"[267.101, 282.112, 206.081, 222.091, 116.05, 282.113, 222.091, 116.049, 131.073, 116.049, 131.073, 222.091, 131.073, 116.049, 194.096, 116.049, 131.073, 89.038, 116.049, 89.038, 131.073, 222.091, 116.049, 132.081, 222.091, 131.073, 116.049, 131.073, 222.091, 116.049, 116.049, 131.073, 222.091, 131.073, 116.049, 130.065, 116.049, 89.038, 130.065, 267.101, 282.112, 206.081]",-7.7645
COC(=O)C(C)N(c1c(C)cccc1C)C(=O)c1ccco1,"[270.113, 242.118, 302.139, 242.118, 95.013, 270.113, 95.013, 242.118, 146.096, 95.013, 242.118, 83.013, 95.013, 83.013, 105.07, 95.013, 83.013, 105.07]",-6.2798
CC(Oc1cccc2ccccc21)C(=O)N(CC)CC,"[272.164, 199.075, 273.168, 171.08, 129.114, 199.075, 171.08, 129.114, 143.084, 171.08, 143.085, 153.069, 128.061, 153.068, 127.053, 199.076, 171.081, 128.107, 272.165, 199.076, 74.096, 129.115, 171.081, 199.075, 171.081, 129.115, 58.065, 171.081, 58.065, 72.081, 58.065, 72.081, 171.08, 58.065, 128.062, 72.081, 272.164, 199.075, 74.096, 129.115, 171.081, 199.076, 171.081, 129.115, 58.065, 171.081, 58.065, 72.081, 58.065, 72.081, 171.08, 58.065, 128.062, 72.081, 199.075, 171.081, 128.107]",-6.7645
CC(Cc1ccc(cc1)C(C)(C)C)CN1CCCCC1,"[274.253, 147.117, 86.096, 147.117, 274.253, 86.097, 274.253, 274.253, 274.253, 147.117, 86.097, 274.253, 147.117, 86.097, 147.117, 86.097, 132.093, 132.093, 147.117, 119.085, 274.253, 274.253, 274.253, 147.117, 86.097, 274.253, 147.117, 86.096, 147.117, 86.097, 132.093, 132.093, 147.117, 119.085, 147.117, 86.096, 218.19]",-3.8928
Cc1cc(ccc1SC)OP(=S)(OC)OC,"[279.027, 247.001, 169.013, 169.013, 247.0, 138.049, 169.013, 153.036, 124.981, 168.986, 153.036, 169.013, 168.986, 121.01, 152.982, 231.024, 279.027, 216.0]",-4.9788
CS(=O)(=O)N(C)S(=O)(=O)NC(O)=Nc1[n]c(cc([n]1)OC)OC,"[279.04, 261.029, 199.083, 261.029, 236.034, 218.023, 236.034, 218.023, 139.038, 139.038, 69.008, 154.061, 69.008, 139.038, 83.024, 69.008, 83.024, 139.038]",-6.7825
O=P(c1ccccc1)(c1ccccc1)c1ccccc1,"[279.093, 219.057, 201.046, 279.093, 57.07, 71.085, 279.093, 57.07, 71.085, 57.07, 219.057, 279.093, 121.028, 219.057, 57.07, 121.028, 65.039, 121.04, 65.039, 121.028, 121.04, 65.039, 121.04, 121.028, 65.039, 53.002, 51.023, 65.039, 53.002, 51.023]",-8.585
CC1CN(CC(C)O1)C1CCCCCCCCCCC1,"[282.279, 116.107, 98.096]",-5.4437
CC12CC1(C)C(=O)N(c1cc(Cl)cc(Cl)c1)C2=O,"[284.024, 256.029, 67.054, 284.024, 256.029, 113.06, 256.029, 284.024, 95.049, 256.029, 95.049, 67.054, 67.054, 95.049, 185.987, 67.054, 238.018, 185.987, 67.054, 238.018, 172.967]",-3.8539
CCCC(C[n]1c[n]c[n]1)c1ccc(Cl)cc1Cl,"[284.071, 70.04, 158.976, 70.04, 158.976, 172.992, 70.04, 158.976, 172.992, 70.04, 158.976, 172.992, 158.976, 70.04, 122.999, 158.976, 70.04, 122.999, 70.04, 122.999, 89.038, 89.038, 70.04, 72.984, 89.038, 72.984, 63.023]",-5.556
