SMILES,frag_list,LogBP
C[n]1[n][n]c2ccccc12,"[134.072, 135.075, 134.072, 135.075, 133.063, 134.071, 133.063, 135.074, 134.071, 133.063, 117.045, 133.063, 134.071, 134.071, 72.044, 56.05, 134.071, 72.044, 56.05, 72.044, 134.071, 56.05, 72.044, 134.072, 56.05, 72.044, 79.054, 56.05, 79.054, 72.044, 56.05, 95.049, 79.054, 105.045, 51.023, 95.049, 105.045, 51.023, 95.049, 105.045, 134.071, 91.041, 77.038]",2.432167269
c1[n]c2ccccc2[s]1,"[136.021, 137.024, 138.015, 136.021, 109.011, 65.039, 136.022, 136.022, 136.022, 136.022, 109.011, 136.022, 109.011, 77.039, 136.022, 109.011, 77.039, 136.022, 136.022, 136.022, 136.022, 109.011, 136.022, 109.011, 77.039, 136.022, 109.011, 65.039, 136.022, 109.011, 105.034, 136.022, 109.011, 77.039, 136.022, 105.034]",2.36361198
CC(=O)c1cccc(N)c1,"[136.076, 94.065, 91.054]",2.461648568
CC(C)c1ccc(N)cc1,"[136.112, 94.065, 91.054, 136.112, 94.065, 136.112, 94.065, 136.112, 94.065, 136.112, 94.065, 147.092, 136.112, 94.065, 91.054, 136.112, 94.065, 91.054, 94.065, 91.054, 136.112, 136.112, 94.065, 136.112, 94.065, 136.112, 94.065, 147.091, 136.112, 94.065, 91.054, 136.112, 94.065, 91.054, 94.065, 91.054, 136.112, 136.112, 94.065, 121.088, 136.113, 94.066, 91.055, 94.065, 136.113, 91.055, 136.113, 94.066, 121.089, 94.065, 121.089, 105.034]",2.352182518
CCOC(=O)c1ccc(N)cc1,"[138.055, 94.065, 120.044]",2.491361694
CCCCNS(=O)(=O)c1ccccc1,"[141.0, 158.027, 95.049]",2.496929648
CNc1ccc(Cl)cc1,"[142.042, 127.018, 107.073, 142.042, 127.018, 107.073, 127.018, 142.042, 107.073, 127.018, 142.042, 107.073, 127.018, 142.042, 107.073, 127.018, 100.007, 92.049, 127.018, 92.049, 100.007, 65.038, 127.018, 92.049, 65.038, 92.049, 127.018, 127.018, 100.007, 92.049]",2.380211242
Nc1cccc2ccccc21,"[144.081, 143.073, 155.06]",2.478277832
O=C1C=Cc2ccccc2O1,"[147.044, 103.054, 91.054]",2.47957531
CC(=O)C=Cc1ccccc1,"[147.08, 129.07, 128.062]",2.416640507
C[C@H](NC)[C@H](O)c1ccccc1,"[148.112, 166.123, 148.112, 117.07, 148.112, 166.123, 135.081, 148.112, 117.07, 166.122, 148.112, 117.07, 133.089, 148.112, 133.089, 117.07, 133.089, 115.054, 117.07, 166.123, 148.112, 117.07, 148.112, 166.123, 135.08, 148.112, 117.07, 166.123, 148.112, 117.07, 133.089, 148.112, 133.089, 117.07, 133.089, 115.054, 117.07, 148.112, 117.07, 135.081]",2.40654018
CCOC(=O)c1ccccc1C(=O)OCC,"[149.023, 177.055, 121.028, 177.054, 149.023, 65.038, 149.023, 177.055, 65.038, 149.023, 177.055, 121.028, 149.023, 121.028, 121.04, 149.023, 121.028, 121.04, 65.038, 149.023, 121.028, 65.039, 121.04, 121.028, 65.039, 53.002, 121.04, 65.039, 53.002, 67.989]",2.469822016
CCCCOC(=O)c1ccccc1C(=O)OCCCC,"[149.023, 205.086, 57.07, 149.024, 205.086, 57.07, 149.023, 57.07, 65.038, 149.024, 57.07, 121.028, 149.024, 121.028, 57.07, 149.024, 121.028, 65.039, 65.039, 149.024, 121.029, 65.039, 121.04, 121.028, 65.039, 53.002, 121.04, 65.039, 53.002, 53.998, 149.024, 121.029, 149.024, 121.029, 149.024, 205.087, 203.06, 149.024, 205.087, 203.06]",2.531478917
CCCCC(COC(=O)c1ccccc1C(=O)OCC(CCCC)CC)CC,"[149.024, 71.086, 167.034]",2.584331224
NC(=O)c1ccccc1[N+]([O-])=O,"[150.019, 78.034, 51.023]",2.501059262
CC(=O)Nc1ccc(N)cc1,"[151.087, 109.076, 92.049, 109.076, 151.087, 92.05, 109.076, 92.05, 108.069, 109.076, 151.087, 133.077, 109.076, 110.06, 133.077]",2.426511261
Cc1[n]c2ccccc2[s]1,"[152.017, 120.044, 110.06]",2.376576957
Oc1[n]c2ccccc2[s]1,"[152.017, 153.019, 154.012, 152.017, 124.022, 153.02, 124.022, 152.017, 119.037, 124.021, 119.037, 132.997, 152.016, 124.022, 92.049, 152.016, 92.049, 124.022, 152.016, 124.022, 92.049, 152.016, 124.022, 92.049, 152.016, 124.022, 92.049, 152.016, 124.022, 92.049, 80.049, 124.022, 152.017, 80.049, 65.039, 91.042, 65.039, 80.049, 91.042, 65.039, 63.023, 80.049]",2.556302501
CC1(C)CC(N)CC(C)(C1)CN,"[154.159, 171.185, 137.132, 154.16, 137.133, 95.086, 95.086, 81.07, 137.133, 154.16, 89.071, 107.061, 154.16, 89.071, 72.044]",2.392696953
CCOP(=O)(OCC)OCC,"[155.048, 127.016, 183.08, 127.016, 155.048, 128.021, 127.016, 98.984, 127.016, 155.047, 98.984, 127.016, 155.047, 98.984, 127.016, 155.047, 98.984, 127.016, 155.047, 98.984, 127.016, 116.995, 98.984, 116.995, 127.016, 98.984, 116.995, 80.974]",2.333447274
CN(C)c1ccc(Cl)cc1,"[156.057, 141.034, 121.088, 156.057, 141.034, 121.088, 141.034, 156.057, 121.088, 141.034, 156.057, 140.026, 141.034, 140.026, 156.057, 140.026, 141.034, 106.065, 140.026, 141.034, 105.057, 140.026, 105.057, 139.006, 75.023, 139.006, 140.026, 140.026, 141.034, 106.065, 156.058, 141.034, 121.089, 156.058, 141.034, 121.089, 141.034, 156.058, 140.026, 141.034, 156.058, 140.026]",2.36361198
CCOC(=O)C(O)(CC(=O)OCC)CC(=O)OCC,"[157.05, 133.049, 203.091]",2.46834733
c1ccc[n]c1-c1cccc[n]1,"[157.076, 130.065, 96.044]",2.436957331
COc1cc2ccc[n]c2cc1,"[160.076, 145.053, 117.058]",2.485721426
Nc1cc(Cl)c(Cl)cc1,"[161.987, 127.018, 172.967]",2.434568904
CCC(=O)Nc1cc(Cl)c(Cl)cc1,"[161.987, 218.013, 127.018, 218.013, 161.987, 127.018, 161.987, 218.013, 127.018, 161.987, 127.018, 218.013, 127.018, 161.987, 57.034, 127.018, 161.987, 57.034, 127.018, 161.987, 57.034]",2.545307116
COC(=O)c1ccccc1C(=O)OC,"[163.039, 195.065, 163.039, 133.028, 77.038, 163.039, 133.029, 135.044, 163.039, 135.044, 133.028, 163.039, 135.044, 133.029, 95.049, 77.039, 105.045, 92.026, 77.038, 95.049, 92.026, 63.023, 77.038, 63.023, 51.023, 64.031]",2.452859336
CN1CCC[C@H]1c1c[n]ccc1,"[163.123, 132.081, 106.065, 163.123, 132.081, 106.065, 132.081, 163.123, 130.065, 132.081, 130.065, 106.065, 130.065, 117.057, 132.081, 130.065, 117.057, 132.081]",2.392696953
c1cccc2[nH]c3ccccc3c21,"[168.081, 115.017, 168.081, 141.07, 167.073]",2.549861188
Nc1ccccc1-c1ccccc1,"[170.096, 153.07, 143.085]",2.475671188
c1ccccc1Nc1ccccc1,"[170.096, 93.057, 92.049, 170.096, 92.049, 93.057, 170.096, 93.057, 92.049, 170.096, 93.057, 92.049, 170.096, 93.057, 92.049, 93.057, 92.049, 170.096, 93.057, 92.049, 65.039]",2.480006943
N#Cc1c(Cl)cccc1Cl,"[171.971, 171.971, 171.971, 171.971, 164.002, 164.001, 171.971, 164.001, 100.018, 171.971, 171.971, 171.971, 164.001, 171.971, 164.001, 164.001, 171.972, 100.018]",2.431363764
Cc1ccc(cc1N=C=O)N=C=O,"[175.05, 147.055, 132.044]",2.399673721
c1[n]c2ccccc2c2ccccc21,"[180.081, 152.062, 180.081]",2.542825427
c1c2ccccc2[n]c2ccccc21,"[180.081, 180.081]",2.538448052
O=C1c2ccccc2-c2ccccc21,"[181.065, 153.07, 152.062, 153.07, 181.065, 152.062]",2.533390708
O=C1c2ccccc2-c2ccccc2C1=O,"[181.065, 209.06, 153.07]",2.556302501
