SMILES,LogP,frag_list,LogWS
CCN(CC)C(=O)c1cccc(C)c1,2.1,"[192.138, 193.141, 119.048, 119.049, 192.138, 193.141, 119.049, 120.052, 192.137, 119.049, 118.064, 120.051, 119.049, 192.138, 100.076, 119.049, 192.139, 100.076, 192.138, 119.049, 192.139, 119.049, 72.044, 119.049, 192.138, 100.076, 119.049, 192.138, 91.054, 119.049, 91.054, 119.061, 91.054, 119.049, 119.061, 192.138, 119.049, 176.107, 192.138, 119.049, 100.076, 119.049, 192.138, 72.044, 119.049, 192.138, 91.054, 119.049, 91.054, 119.06, 91.054, 119.049, 119.06, 119.049, 192.138, 100.076, 192.138, 119.049, 91.054, 119.049, 91.054, 72.045, 91.054, 65.039, 44.013, 119.049, 192.139, 91.055, 119.049, 91.054, 109.065, 119.049, 192.139, 100.076, 119.049, 100.076, 91.055, 77.039, 105.045, 95.049, 77.039, 105.045, 95.049, 77.039, 105.045, 77.039, 105.045]",-2.06
CCN(CC)C(=O)c1cccc(C)c1,2.1,"[119.094, 91.054]",-2.06
O=c1cc(-c2ccccc2)oc2ccccc12,3.1,"[223.075, 121.028, 178.077]",-4.29
Cc1nnc(SCC2=C(C(=O)O)N3C(=O)[C@@H](NC(=O)Cn4cnnn4)[C@H]3SC2)s1,-0.4,"[323.059, 455.041, 324.06, 156.012, 323.059, 295.063, 156.013, 153.049, 166.045, 156.012, 153.049, 139.034, 132.99, 156.013, 139.034]",-2.97
Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,1.87,"[256.016, 258.013, 257.018, 256.015, 210.982, 220.038, 256.015, 256.015, 256.015, 210.982, 186.982, 256.015, 210.982, 186.982, 256.015, 210.982, 186.982, 172.967, 156.961, 158.976, 256.015, 256.015, 256.015, 210.982, 166.029, 256.015, 210.982, 171.971, 256.015, 210.982, 186.982, 172.967, 156.961, 158.976, 256.015, 210.982, 220.038]",-2.72
CN(C)C(=N)NC(=N)N,-1.83,"[71.061, 60.056, 130.109, 130.108, 113.083, 130.108, 113.082, 60.056, 130.109, 71.06, 130.109, 60.056, 85.051, 130.109, 60.056, 85.051, 130.109, 60.056, 85.051, 130.109, 60.056, 71.06, 60.056, 71.06, 130.109, 71.06, 60.056, 85.051, 71.06, 60.056, 85.051, 130.109, 60.056, 85.051, 130.109, 60.056, 85.051, 130.109, 60.056, 71.06, 60.056, 130.109, 71.06, 71.06, 60.056, 85.051, 71.06, 60.056, 85.051, 130.109, 60.056, 85.051, 60.056, 130.109, 71.061, 71.06, 60.056, 46.065, 71.061, 43.029, 68.024, 130.109, 71.061, 88.087, 71.061, 88.087, 85.051, 60.056, 85.051, 113.083, 60.056, 85.051, 113.083]",-1.97
C[C@@H](N)C12CC3CC(CC(C3)C1)C2,3.28,"[180.174, 163.148, 81.07, 163.148, 180.175, 81.07, 163.148, 180.175, 81.07, 163.148, 81.07, 107.085, 163.148, 81.07, 107.085, 81.07, 163.148, 107.085]",-4.29
CN(C/C=C/C#CC(C)(C)C)Cc1cccc2ccccc12,5.51,"[141.07, 292.206, 93.07]",-5.6
Cc1cccc(Nc2ccncc2S(=O)(=O)/N=C(\O)NC(C)C)c1,2.11,"[264.08, 183.092, 290.06, 264.08, 349.133, 290.06, 264.08, 290.06, 183.091, 264.08, 183.092, 219.059, 183.092, 264.08, 168.068, 168.068, 183.092, 182.084, 168.068, 183.092, 182.084]",-3.99
CC(C)c1ccc(N)cc1,2.27,"[136.112, 94.065, 91.054, 136.112, 94.065, 136.112, 94.065, 136.112, 94.065, 136.112, 94.065, 147.092, 136.112, 94.065, 91.054, 136.112, 94.065, 91.054, 94.065, 91.054, 136.112, 136.112, 94.065, 136.112, 94.065, 136.112, 94.065, 147.091, 136.112, 94.065, 91.054, 136.112, 94.065, 91.054, 94.065, 91.054, 136.112, 136.112, 94.065, 121.088, 136.113, 94.066, 91.055, 94.065, 136.113, 91.055, 136.113, 94.066, 121.089, 94.065, 121.089, 105.034]",-1.89
CCCCC/C=C\C/C=C\CCCCCCCC(=O)O,7.06,"[263.237, 245.226, 97.101, 97.101, 83.085, 69.07, 69.07, 81.07, 83.085, 69.07, 81.07, 95.085, 81.07, 67.054, 69.07, 67.054, 81.07, 91.054]",-6.26
c1c[nH]cn1,-0.21,[69.045],0.9
COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,1.97,"[304.156, 305.158, 182.117, 182.117, 304.156, 305.158, 182.117, 150.09, 183.12, 182.117, 150.09, 119.048, 182.116, 119.048, 150.09, 182.118, 150.091, 272.128, 304.155, 304.154, 182.118, 82.065, 182.118, 82.065, 304.155, 182.118, 105.034, 82.065, 105.034, 82.065, 182.118, 105.034, 82.065, 77.039, 304.154, 182.118, 304.154, 182.118, 82.065, 182.118, 82.065, 304.154, 182.118, 105.034, 82.065, 105.034, 82.065, 91.054, 105.034, 82.065, 77.039, 182.118, 150.091, 272.128]",-1.78
COc1cc(O)c(C(=O)c2ccccc2)cc1S(=O)(=O)O,0.39,"[230.996, 309.043, 135.008]",-3.16
COc1cc(O)c(C(=O)c2ccccc2)cc1S(=O)(=O)O,0.39,"[135.006, 166.989, 230.994, 231.997, 232.496, 238.03, 309.042, 309.544]",-3.16
NCCc1ccc(O)cc1,-0.14,"[121.065, 122.068, 138.091, 121.064, 122.068, 121.065]",-1.38
C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,1.91,"[121.064, 146.072, 235.111, 253.121, 277.158, 334.175, 401.194, 411.699]",-3.68
CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21,2.14,"[259.064, 261.061, 260.067, 301.074, 259.063, 259.063, 301.074, 233.084, 259.063, 224.094, 105.033, 259.063, 224.094, 105.033, 224.094, 153.021, 105.033, 153.021, 223.087, 224.094, 215.037, 118.052, 95.049, 179.06, 90.034, 118.052, 63.023, 179.06, 50.015]",-3.26
OC1=Nc2ccc(Cl)cc2C(c2ccccc2)=NC1,3.09,"[271.063, 273.06, 272.066, 271.063, 140.025, 208.099, 140.025, 208.099, 165.02, 140.025, 208.098, 165.02, 271.063, 271.063, 243.068, 140.026, 271.063, 140.026, 243.068, 140.026, 165.021, 208.099, 140.026, 165.021, 208.099, 140.026, 91.054, 165.021, 104.049, 91.054, 190.065, 104.049, 65.038, 75.023, 75.023, 65.038, 104.049]",-4.56
c1cn[nH]c1,0.03,[69.045],0.85
CN[C@H](C)C(=O)c1ccc(C)cc1,1.33,"[145.088, 160.112, 144.08, 160.112, 178.123, 147.081, 178.123, 160.112, 147.081, 160.112, 178.123, 147.081, 160.112, 145.089, 147.081, 145.089, 160.112, 119.086, 145.089, 144.081, 160.112, 145.089, 144.081, 119.086, 178.123, 160.112, 147.08, 160.112, 178.123, 147.081, 160.112, 145.089, 147.081, 145.089, 160.112, 119.086, 145.089, 144.081, 160.112, 145.089, 144.081, 119.086, 160.112, 147.081, 178.123]",-2.39
CCN(CC)C(=O)Nc1ccc(OC[C@H](O)CNC(C)(C)C)c(C(C)=O)c1,2.29,"[380.255, 307.165, 324.192, 251.103, 307.165, 306.181, 74.06, 74.096, 251.103, 74.06, 74.096, 100.076, 74.06, 74.096, 56.05, 74.06, 56.05, 74.096]",-3.34
CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,3.99,"[65.032, 130.569, 133.094, 141.009, 153.039, 166.552, 169.041, 170.038, 184.035, 220.057]",-3.92
C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,1.93,"[149.022, 393.208, 373.202, 149.022, 355.191, 167.035, 149.022, 237.126, 149.022, 171.079, 147.082, 149.023, 150.027, 373.201, 355.19, 337.18, 373.201, 355.19, 337.18, 237.127, 355.19, 279.174, 147.081, 237.127, 171.081, 147.081, 121.065, 171.08, 147.081, 121.065, 119.085, 121.065, 91.054, 105.07, 373.201, 355.19, 337.18, 237.127, 355.19, 279.174, 147.08, 237.127, 171.08, 147.08, 121.065, 171.081, 121.065, 147.08, 119.085, 121.065, 91.054, 128.062, 373.201, 355.19, 337.18]",-3.89
CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,4.62,"[107.049, 199.075, 135.08, 107.049, 181.065, 121.065, 135.08, 199.075, 251.143, 135.08, 199.075, 251.143]",-4.39
CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,3.53,"[167.085, 165.07, 152.062, 373.286, 305.259, 306.263, 95.085, 93.07, 81.07, 305.259, 373.286, 355.275, 305.259, 355.275, 306.263]",-5.27
CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,3.53,"[305.259, 305.76, 317.223, 373.286, 374.289, 374.79]",-5.27
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,0.58,"[307.111, 220.068, 238.079, 238.079, 220.068, 289.101, 307.112, 238.078, 220.068, 238.079, 220.068, 307.111, 220.068, 169.046, 238.079, 169.046, 220.068, 139.036, 139.036, 127.035, 121.045, 127.035, 139.036, 151.036, 307.112, 238.078, 220.068, 238.079, 220.068, 307.111, 220.068, 169.046, 238.079, 169.046, 220.068, 139.035, 139.035, 127.035, 121.045, 139.035, 127.035, 151.035, 238.079, 220.068, 289.101, 220.068, 238.078, 169.046]",-2.34
CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,3.58,"[97.065, 315.234, 109.067, 315.234, 316.237, 297.223, 256.092, 123.081, 315.234, 256.092, 123.081, 145.102, 123.081, 131.086, 145.102, 315.234, 316.237, 317.24, 97.065, 315.232, 109.065, 97.065, 109.065, 123.08, 109.065, 97.065, 81.07, 97.065, 109.065, 79.054, 97.065, 109.065, 79.054, 109.064, 97.065, 123.08, 109.064, 97.064, 81.07, 297.221, 279.21, 97.065, 297.221, 279.21, 97.065]",-4.76
COc1ccc(C(=O)c2ccccc2O)c(O)c1,3.15,"[121.028, 245.081, 151.039, 121.028, 151.039, 93.033, 65.039, 121.028, 93.034]",-3.22
COc1ccc(C(=O)c2ccccc2)c(O)c1,3.35,"[151.039, 229.086, 105.033, 151.039, 229.086, 105.034, 151.039, 105.034, 77.039, 229.086, 151.039, 105.034, 229.086, 151.039, 105.034, 151.039, 105.034, 229.086, 151.039, 105.034, 95.049, 151.039, 105.034, 95.049, 151.039, 95.049, 105.034, 229.086, 151.039, 105.033, 229.086, 151.039, 105.034, 151.039, 105.034, 229.086, 151.039, 105.034, 95.049, 151.039, 105.034, 95.049, 151.039, 95.049, 105.034, 151.039, 105.034, 77.039, 229.086, 151.039, 105.034, 151.039, 105.034, 77.039, 77.039, 95.049, 151.039]",-3.25
C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,1.93,"[355.19, 373.201, 337.18, 91.054, 121.065, 147.08]",-3.89
N[C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(Cl)CS[C@H]12)c1ccccc1,0.85,"[174.055, 106.065, 192.048, 106.065, 174.055, 191.04, 106.065, 118.041, 118.065, 106.065, 118.041, 118.065, 106.065, 118.041, 118.065, 106.065, 79.054, 118.041]",-3.24
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,3.18,"[158.118, 83.049, 590.396, 748.485, 590.39, 158.116, 158.116, 590.389, 159.119, 158.117, 116.07, 158.117, 159.12, 116.106, 748.487, 749.491, 750.493]",-3.54
COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3,3.75,"[215.143, 213.127, 147.08, 272.201, 272.201, 215.143, 272.201, 215.143, 213.127, 272.201, 215.143, 213.127, 147.08, 213.127, 171.08, 171.081, 147.08, 213.127, 272.201, 171.08, 272.201, 215.143, 171.081, 272.201, 215.143, 213.127, 272.201, 215.143, 213.127, 147.081, 213.127, 171.081, 171.08, 147.08, 213.127, 215.143, 213.127, 147.08]",-4.5
COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3,3.75,"[215.144, 171.079]",-4.5
Nc1nc(=O)[nH]cc1F,-1.89,"[130.041, 131.044, 113.014, 130.041, 113.015, 112.031, 113.015, 130.042, 130.041, 87.035, 113.014, 130.041, 87.035, 113.015, 130.041, 113.015, 87.035, 130.041, 113.015, 87.035, 130.041, 113.015, 87.035, 113.015, 130.041, 58.009]",-0.09
Nc1nc(=O)[nH]cc1F,-1.89,[113.015],-0.09
CCC[C@@H]1C[C@@H](C(=O)N[C@H]([C@@H](C)O)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)N(C)C1,0.5,"[126.128, 407.224, 127.131, 126.128, 126.128, 359.218, 389.211, 126.128, 359.218, 389.211, 126.128]",-1.14
Cc1cc(C)cc(OC[C@@H]2CNC(=O)O2)c1,1.63,"[161.096, 56.05, 135.081, 161.096, 56.05, 135.081, 56.05, 161.096, 133.101, 56.05, 105.07, 133.101, 56.05, 105.07, 79.054, 105.07, 79.054, 56.05]",-2.24
CN(C)CC/C=C1/c2ccccc2COc2ccc(CC(=O)O)cc21,3.99,"[338.179, 339.182, 340.184, 338.178, 339.181, 247.113, 247.114, 165.056, 338.178, 165.055, 247.114, 232.09, 232.089, 229.102, 179.086, 338.175, 293.117, 247.112, 338.175, 247.112, 165.055, 165.055, 247.112, 84.081, 165.055, 84.081, 232.088, 91.054, 115.054, 84.081, 91.054, 115.054, 178.078]",-4.03
Cc1ccccc1[C@H](OCCN(C)C)c1ccccc1,3.5,"[181.101, 88.076, 178.078, 181.101, 166.077, 165.069, 181.101, 166.078, 165.07, 166.078, 181.101, 165.07, 166.078, 165.07, 141.07, 165.07, 166.078, 141.07, 165.07, 115.054, 178.078, 165.07, 115.054, 164.062, 165.07, 115.054, 163.054]",-3.95
C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,1.51,"[121.064, 147.079, 153.079, 171.079, 237.127, 279.174, 317.182, 374.199, 393.709]",-3.43
C#CCN(C)Cc1ccccc1,2.05,"[91.054, 160.112, 129.07, 91.054, 160.112, 129.07, 91.054, 160.112, 129.07, 91.054, 129.07, 68.049, 91.054, 65.039, 128.062, 91.054, 65.039, 128.062, 91.054, 65.039, 128.062, 91.054, 160.112, 129.07, 91.054, 160.112, 129.07, 91.054, 160.112, 129.07, 91.054, 65.039, 68.05]",-3.2
Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,3.1,"[330.151, 192.118, 70.064, 330.15, 70.065, 192.118]",-4.59
O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,5.45,"[474.174, 112.112, 84.081]",-5.97
CCOc1cc(CC(=O)N[C@@H](CC(C)C)c2ccccc2N2CCCCC2)ccc1C(=O)O,5.05,"[453.28, 454.283, 455.285, 453.279, 230.192, 454.282, 230.193, 162.129, 231.196, 230.193, 231.196, 162.129, 230.193, 174.129, 231.195]",-5.19
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,1.26,"[230.117, 123.067, 261.099, 291.146, 230.117, 291.146, 123.067, 261.098, 291.145, 261.098, 230.116, 261.098, 275.114, 230.116, 123.067, 261.098, 257.103, 123.067, 81.045, 229.109, 291.146, 261.097, 291.146, 123.067, 261.098, 291.146, 261.098, 230.116, 261.098, 275.114, 123.067, 123.067, 261.098, 257.103, 123.067, 81.045, 229.108, 230.117, 123.067, 261.098, 261.099, 230.117, 275.114, 123.067, 229.109, 110.059, 291.146, 230.117, 123.067, 230.117, 123.067, 261.099]",-2.67
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,1.26,"[275.116, 261.099, 245.105, 230.116, 123.067]",-2.67
CCNc1nc(NC(C)(C)C)nc(SC)n1,3.65,"[186.081, 242.143, 91.032, 186.081, 171.057, 242.143, 242.144, 186.083, 227.119, 242.144, 186.081, 186.081, 242.144, 91.032, 186.081, 91.033, 138.078, 186.081, 91.032, 68.024, 68.024, 96.056, 91.032, 242.143, 186.081, 227.12, 242.143, 186.081, 227.12, 186.081, 242.143, 91.032, 186.081, 91.032, 158.049, 186.081, 91.032, 68.024, 68.024, 91.032, 96.056, 186.081, 171.057, 242.143]",-3.85
Nc1ccc(O)cc1,0.47,"[110.06, 92.049, 65.039]",0.04
N=C(Nc1ccccc1)Nc1ccccc1,2.67,"[195.09, 119.059, 94.065]",-2.75
Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1,0.84,"[156.012, 184.088, 250.066, 156.012, 184.087, 108.044, 250.065, 156.011, 184.086, 250.065, 156.011, 184.087, 156.011, 108.044, 184.087, 108.044, 92.049, 184.087, 108.044, 92.049, 95.06, 92.049, 108.044, 65.039, 250.065, 156.011, 184.088, 250.065, 156.011, 184.087, 156.011, 108.044, 184.087, 108.044, 92.049, 184.087, 108.044, 92.049, 95.06, 92.049, 108.044, 65.039, 156.011, 184.087, 108.044, 108.044, 92.049, 156.012, 92.049, 108.044, 95.06, 156.012, 184.087, 108.044, 156.012, 184.087, 108.044]",-3.03
COCCOCCOCCOCCO,-0.42,"[133.085, 103.076, 89.06]",-0.82
CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O,3.97,"[138.994, 121.065, 316.11, 316.11, 276.078, 344.104, 362.115, 316.109, 276.078, 138.994, 316.11, 276.079, 138.994, 121.065, 161.096, 138.994, 121.065, 93.07, 138.994, 121.065, 139.006, 139.006, 138.994, 121.065, 362.115, 316.109, 276.078, 138.994, 316.11, 276.078, 138.994, 121.065, 161.096, 138.994, 121.065, 139.006, 138.994, 121.065, 139.006, 139.006, 138.994, 121.065, 316.11, 276.078, 344.104]",-5.37
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,0.75,"[349.085, 208.043, 114.001, 114.001, 134.06, 160.043, 114.001, 134.06, 70.065, 114.001, 134.06, 114.037, 114.001, 134.06, 86.006, 86.006, 114.001, 134.06]",-2.58
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,0.75,"[366.112, 349.085, 114.001]",-2.58
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,3.47,"[494.267, 394.166, 222.091, 494.266, 394.166, 217.133, 394.166, 217.133, 494.267, 394.166, 222.091, 379.143, 378.135, 247.087, 222.091, 378.135, 247.087, 222.091, 58.065, 70.065, 219.092, 89.039, 165.07, 58.065, 89.039, 152.062, 58.065, 89.039, 63.023, 150.046]",-4.53
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,3.47,"[217.133, 219.612, 300.616, 394.166, 395.169, 494.266, 495.269, 495.77]",-4.53
CCc1ccc(CCOc2ccc(C[C@@H]3SC(=O)NC3=O)cc2)nc1,3.17,"[357.134, 134.097, 135.103, 134.096, 357.127, 135.104, 357.127, 134.096, 135.104, 357.127, 134.097, 135.104, 134.097, 135.104, 119.073, 134.097, 119.073, 135.104, 134.097, 119.073, 106.065, 119.073, 134.097, 118.065]",-4.91
Cn1c(N)nc2ncc(-c3ccccc3)cc21,2.27,"[225.113, 210.09, 208.087, 225.113, 210.09, 208.087, 225.113, 210.089, 208.087]",-2.73
Cn1c(N)nc2ncc(-c3ccccc3)cc21,2.27,"[167.06, 174.064, 208.075, 223.098]",-2.73
O=S(=O)(O)c1ccc2[nH]c(-c3ccccc3)nc2c1,1.03,"[275.048, 194.084, 195.092, 275.048, 194.084, 195.092, 275.049, 194.083, 275.049, 194.084, 195.092, 194.084, 193.076, 195.092]",-2.93
O=S(=O)(O)c1ccc2[nH]c(-c3ccccc3)nc2c1,1.03,"[193.075, 194.082, 226.073, 275.048, 276.051, 277.045]",-2.93
Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,-0.62,"[264.079, 112.05, 163.002, 144.991, 112.05, 163.002, 112.051, 95.024, 94.04, 264.079, 112.05, 112.051, 264.079, 87.024, 112.051, 87.024, 264.079, 112.051, 87.024, 59.029, 112.05, 95.024, 59.029, 112.051, 95.024, 69.045, 264.079, 112.05, 112.05, 264.079, 87.024, 112.051, 87.024, 107.03, 112.051, 87.024, 59.029, 112.051, 95.024, 59.029, 112.05, 95.024, 69.045, 112.05, 95.024, 94.04]",-0.11
CO[C@@H]1[C@@H](OC(N)=O)[C@@H](O)[C@H](Oc2ccc3c(O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(=O)oc3c2C)OC1(C)C,2.78,"[613.247, 218.104, 614.248, 189.091, 190.094, 125.059, 189.093, 157.087, 186.077, 189.093, 133.03, 125.061, 189.093, 133.03, 143.072, 189.093, 218.105, 396.148]",-4.02
Cc1cccc(N(C)C(=S)Oc2ccc3ccccc3c2)c1,4.87,"[148.076, 164.053, 180.048, 148.076, 164.053, 120.081, 120.081, 148.076, 164.053, 120.081, 91.054, 164.053, 91.054, 120.081, 65.039, 91.054, 65.039, 120.081]",-5.75
C[C@]12Cc3cn[nH]c3C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,4.06,"[329.259, 203.154, 203.149, 121.101, 121.083]",-5.29
CC(=O)NCCCS(=O)(=O)O,-1.79,"[140.037, 182.048, 141.041, 140.038, 123.011, 141.042, 123.011, 140.038, 140.037, 123.011, 182.048, 140.038, 123.011, 140.038, 182.048, 123.011, 140.038, 123.011, 100.076, 140.038, 123.011, 100.076, 123.011, 140.037, 59.049, 123.011, 140.037, 59.049, 182.048, 140.038, 123.011, 140.037, 182.048, 123.011, 140.037, 123.011, 100.076, 140.038, 123.011, 100.076, 123.011, 140.037, 59.049, 123.011, 140.038, 58.065, 140.037, 123.011]",-0.98
CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1,3.79,"[344.233, 271.144, 74.096, 271.144, 344.233, 215.082, 271.144, 215.082, 172.039, 215.082, 172.039, 144.044, 116.049, 144.044, 172.039, 116.049, 144.044, 171.055]",-3.95
C[C@]12CC[C@H]3[C@@H](C=CC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@]21CCC(=O)O1,2.79,"[107.085, 97.065, 187.112, 107.085, 105.07, 91.054, 187.111, 169.101, 283.169, 187.112, 169.101, 283.169]",-4.91
CCCCCOC(=O)Nc1nc(=O)n([C@@H]2O[C@H](C)[C@@H](O)[C@H]2O)cc1F,0.51,"[244.109, 245.112, 360.156, 244.109, 174.029, 130.04, 174.03, 130.04, 244.109, 130.04, 174.03, 131.043, 130.04, 174.03, 156.02, 244.109, 174.031, 130.041, 244.109, 174.031, 360.156, 130.041, 113.014, 87.035, 130.041, 113.014, 87.035]",-1.21
CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,4.67,"[360.363, 360.864, 361.867]",-8.07
CCCCCCCCCCCCCCCC[N+](C)(C)C,2.48,"[30.04, 142.071, 284.331, 285.334, 286.337]",-7.79
CCCCc1oc2ccc(NS(C)(=O)=O)cc2c1C(=O)c1ccc(OCCCN(CCCC)CCCC)cc1,6.46,"[557.309, 558.312, 559.311, 557.307, 557.311, 558.312, 557.311, 435.267, 170.191, 557.31, 558.312, 435.268, 142.16, 435.267, 557.309, 435.264, 501.241, 294.079, 557.304, 558.306, 435.271, 557.304, 435.263, 558.307, 100.112, 142.159, 58.065, 100.112, 58.065, 142.159, 58.065, 100.112, 114.128, 58.065, 100.112, 121.028, 557.305, 558.307, 435.271, 557.304, 558.307, 435.264, 100.112, 142.159, 58.065, 100.112, 58.065, 142.159, 100.112, 58.065, 114.128, 58.065, 100.112, 121.028, 435.264, 501.241, 294.079]",-5.44
Nc1cccc(C(=O)O)c1,0.93,"[138.055, 94.065, 120.044]",-1.33
O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1,2.09,"[316.009, 318.007, 209.095, 316.008, 288.014, 316.008, 288.013, 209.095, 209.095, 182.084, 316.008, 182.084, 209.095, 208.087, 182.084, 208.087, 181.076, 181.076, 182.084, 208.087, 181.076, 154.065, 104.049, 179.06, 154.065, 104.049, 179.06, 95.049, 126.046]",-3.9
CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)[C@@H](CO)c1ccccc1)C2,2.19,"[290.175, 124.112, 93.07, 290.175, 124.112, 93.07, 124.112, 290.175, 93.07, 124.112, 93.07, 91.054, 93.07, 124.112, 91.054, 93.07, 91.054, 67.054]",-2.06
c1ccc2c(c1)[nH]c1ccccc12,3.69,"[168.081, 115.017, 168.081, 141.07, 167.073]",-3.4
CN/C(=N\C#N)NCCSCc1nc[nH]c1C,0.44,"[253.123, 159.07, 117.048, 159.07, 117.048, 95.06, 95.06, 159.07, 117.048, 95.06, 117.048, 99.066, 95.06, 117.048, 99.066, 95.06, 117.048, 82.04, 95.06, 54.034, 61.011, 54.034, 95.06, 61.011, 54.034, 57.045, 61.011]",-3.16
Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,1.19,"[156.012, 108.046, 249.07, 249.069, 156.011, 108.044, 156.011, 249.069, 108.044, 108.044, 92.049, 156.011, 92.049, 108.044, 93.057, 92.049, 108.044, 65.038, 65.038, 92.049, 108.044, 65.039, 80.049, 93.057, 65.039, 80.049, 66.046, 65.039, 80.049, 53.039]",-2.94
C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CCC2=O,3.53,"[271.206, 253.195, 289.216, 253.195, 213.164, 271.206, 213.164, 197.132, 157.101, 213.164, 157.101, 145.101, 81.07, 91.054, 105.07, 91.054, 105.07, 81.07]",-3.82
CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,2.63,"[285.079, 287.076, 286.082, 285.079, 154.041, 193.088, 193.088, 154.041, 222.115, 193.088, 154.041, 241.053, 285.079, 154.042, 193.089, 257.084, 154.042, 222.115, 285.079, 285.079, 257.084, 154.042, 285.079, 257.084, 154.042, 154.042, 193.089, 222.115, 193.089, 154.042, 222.115, 193.089, 154.042, 241.053, 285.079, 285.079, 257.084, 182.036, 285.079, 257.084, 154.042, 154.042, 193.089, 222.115, 193.089, 154.042, 222.115, 193.089, 154.042, 241.053, 257.084, 154.042, 222.115, 285.079, 154.042, 257.084, 193.089, 154.042, 241.053, 285.079, 257.084, 154.042, 257.084, 154.042, 222.115]",-4.37
Cn1cc[nH]c1=S,-0.37,"[115.033, 57.057, 56.049, 115.033, 115.032, 115.033, 116.037, 117.029]",-0.93
C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,2.07,"[359.188, 341.177, 360.191, 341.176, 147.081, 295.17, 147.081, 171.081, 237.128, 147.081, 171.081, 159.08, 147.081, 171.08, 159.081, 359.186, 341.175, 313.18, 91.054, 147.081, 171.081]",-3.51
