SMILES,LogP,frag_list,LogWS
COCC(=O)Nc1c(I)c(C(=O)NC[C@H](O)CO)c(I)c(C(=O)N(C)C[C@H](O)CO)c1I,-1.89,"[773.866, 572.901, 558.885, 791.877, 572.902, 558.887, 372.968, 558.886, 413.971, 317.926, 299.915, 423.797, 317.926, 299.915, 255.925, 317.926, 299.915, 117.021, 89.026, 117.021, 101.026, 572.901, 791.878, 558.885, 372.968, 386.983, 558.885, 317.925, 299.915, 423.796, 317.926, 299.915, 313.931, 317.926, 299.915, 271.92, 773.866, 572.9, 558.885]",-3.34
CCCCC1=NC2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,4.51,"[207.091, 429.24, 430.243, 207.091, 195.148, 208.094, 207.091, 208.094, 180.08, 207.091, 180.08, 208.094, 207.092, 429.24, 195.149, 207.092, 401.233, 195.149, 429.24, 207.091, 401.233, 207.092, 195.149, 429.239, 207.092, 195.149, 192.08, 207.092, 180.081, 206.084, 180.081, 205.076, 207.091, 205.076, 180.081, 165.07, 429.24, 207.091, 401.233, 207.092, 195.149, 429.239, 207.092, 195.149, 192.081, 207.092, 180.081, 206.084, 180.081, 205.076, 207.092, 205.076, 180.081, 152.062, 207.092, 401.233, 195.149]",-4.69
Cc1cccc(CN2CCN([C@H](c3ccccc3)c3ccc(Cl)cc3)CC2)c1,5.59,"[201.047, 189.139, 165.07, 201.047, 166.078, 165.071, 201.047, 166.078, 165.071, 166.078, 201.047, 165.071, 166.078, 201.047, 183.081, 165.071, 166.078, 201.047]",-5.58
CC1CCN(CCCC(=O)c2ccc(F)cc2)CC1,3.89,"[165.071, 264.176, 123.024]",-3.73
CCN(CC)CC#CCOC(=O)[C@@](O)(c1ccccc1)C1CCCCC1,4.36,"[358.238, 142.123, 72.081, 358.238, 124.112, 340.228, 358.238, 124.112, 142.123, 142.123, 72.081, 105.034, 72.081, 142.123, 105.034, 72.081, 58.065, 105.034, 72.081, 58.065, 79.054]",-4.55
CN(C)CC[C@@H](c1ccccc1)c1ccccn1,2.85,"[196.112, 241.17, 196.112, 241.17, 196.112, 168.081, 167.073, 196.112, 168.081, 167.073, 168.081, 196.112, 167.073, 167.073, 168.081, 91.054, 167.073, 118.065, 91.054, 167.073, 166.065, 118.065, 139.054, 166.065, 140.049, 196.112, 241.17, 168.081, 196.112, 241.17, 167.072, 196.112, 168.081, 167.073, 196.112, 168.081, 167.073, 168.081, 196.112, 167.073]",-2.8
CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,4.51,"[285.185, 199.148, 303.197, 199.144, 173.13, 243.171, 199.148, 173.132, 225.165, 199.148, 173.133, 225.163, 143.084, 173.132, 199.147, 199.148, 285.185, 243.174, 199.148, 225.163, 173.132, 199.148, 173.132, 143.085, 143.085, 199.148, 173.132, 143.085, 131.085, 105.07, 143.085, 128.062, 105.07]",-4.53
Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1,0.44,"[156.012, 190.029, 265.077]",-2.94
CCN(CC)CCNC(=O)c1cc(S(C)(=O)=O)ccc1OC,1.14,"[329.153, 256.064, 74.096, 256.064, 329.153, 74.096, 256.064, 213.022, 212.037, 256.064, 213.021, 212.038, 213.021, 212.037, 133.052, 213.021, 133.052, 134.036]",-3.12
CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,3.42,"[387.253, 123.08, 327.232]",-5.24
