SMILES,frag_list,LogWS
CCOC1Oc2ccc(cc2C1(C)C)OS(C)(=O)=O,"[121.065, 161.06, 122.068, 259.064, 241.053, 121.065, 259.064, 287.095, 121.065, 121.065, 259.064, 161.06, 121.065, 161.06, 162.068, 121.065, 161.06, 133.065, 121.065, 105.07, 133.065, 105.07, 103.054, 91.054, 259.064, 287.095, 121.065, 121.065, 259.064, 161.06, 121.065, 161.06, 162.068, 121.065, 161.06, 133.065, 121.065, 105.07, 133.065, 105.07, 103.054, 91.054, 259.064, 241.053, 121.065, 121.065, 161.06, 133.065, 105.07, 121.065, 103.054, 259.064, 241.053, 121.065, 259.064, 121.065, 241.053]",1.698970004
CNC(=O)Oc1cc(C)c(SC)c(C)c1,"[121.065, 169.068, 122.073, 169.068, 121.065, 122.073, 169.068, 121.065, 226.09, 169.068, 121.065, 122.073, 121.065, 169.068, 122.073, 121.065, 122.073, 93.07, 121.065, 122.073, 93.07, 121.065, 107.049, 122.073, 169.068, 121.065, 226.09, 169.068, 121.065, 122.073, 121.065, 169.068, 122.073, 121.065, 122.073, 93.07, 121.065, 122.073, 93.07, 121.065, 107.049, 122.073, 169.068, 121.065, 122.072, 121.065, 122.073, 91.054, 121.065, 122.073, 91.054, 169.068, 121.065, 148.076, 169.068, 121.065, 148.076]",1.431363764
NC(=O)c1ccccc1,"[122.06, 105.034, 79.054]",4.130333768
Cc1cc(C)[n]c(C)c1,"[122.096, 79.054, 81.07]",4.544068044
NC(=O)c1ccc[n]c1,"[123.056, 80.05, 96.045]",5.698970004
CCSC(=O)N1CCCCCC1,"[126.091, 188.11, 83.085, 126.091, 188.11, 83.085, 126.091, 83.085, 55.054, 55.054, 126.091, 83.085, 55.054, 98.096, 83.085, 55.054, 98.097, 70.065, 55.054, 98.097, 70.065, 55.054, 53.039, 70.065, 55.054, 53.039, 56.013]",2.986771734
COP(=O)(OC1C2CC=CC2C=1Cl)OC,"[127.015, 125.015, 251.024, 127.015, 125.015, 89.039, 127.016, 125.015, 89.039, 127.015, 125.015, 89.039, 127.015, 89.039, 125.015, 127.016, 89.039, 99.0]",3.397940009
COP(=O)(OC=C(Cl)Cl)OC,"[127.015, 220.953, 78.994, 220.953, 127.015, 144.982, 127.015, 220.953, 144.982, 127.015, 78.994, 220.953, 127.016, 78.994, 113.0, 127.015, 78.994, 113.0, 127.015, 78.994, 113.0, 127.015, 109.005, 78.994, 127.015, 78.994, 109.005, 109.005, 144.982, 127.015, 144.982, 109.005, 127.015]",3.903089987
Nc1ccc(Cl)cc1,"[128.026, 93.057, 139.006, 128.027, 93.058, 139.006, 93.058, 128.027, 139.006, 93.058, 128.026, 93.058]",3.591064607
Oc1ccc(Cl)cc1,"[129.01, 97.028, 85.028, 129.01, 69.034, 55.018, 129.01, 69.034, 94.041, 69.034, 129.01, 94.041, 69.034, 94.041, 65.039, 94.041, 65.039, 69.033]",4.380211242
O=C1NC(=O)c2ccccc12,"[130.029, 80.022, 101.038]",2.556302501
NC1=NC(=O)NC=C1F,"[130.041, 131.044, 113.014, 130.041, 113.015, 112.031, 113.015, 130.042, 130.041, 87.035, 113.014, 130.041, 87.035, 113.015, 130.041, 113.015, 87.035, 130.041, 113.015, 87.035, 130.041, 113.015, 87.035, 113.015, 130.041, 58.009]",4.176091259
c1[n]c2ccccc2[s]1,"[136.021, 137.024, 138.015, 136.021, 109.011, 65.039, 136.022, 136.022, 136.022, 136.022, 109.011, 136.022, 109.011, 77.039, 136.022, 109.011, 77.039, 136.022, 136.022, 136.022, 136.022, 109.011, 136.022, 109.011, 77.039, 136.022, 109.011, 65.039, 136.022, 109.011, 105.034, 136.022, 109.011, 77.039, 136.022, 105.034]",3.633468456
CCP(=S)(OCC)Sc1ccccc1,"[137.018, 126.998, 108.987, 126.998, 108.987, 137.018, 126.998, 108.987, 80.956, 126.998, 108.987, 80.956, 126.998, 108.987, 80.956, 80.956, 62.945, 126.998]",1.195899652
Oc1[n]c[n]c2[nH][n]cc21,"[137.046, 110.035, 94.04, 137.046, 110.035, 94.04, 137.046, 110.035, 94.04, 137.046, 110.035, 94.04, 137.046, 110.035, 94.04, 110.035, 137.046, 94.04]",2.755112266
CCOC(=O)c1ccc(N)cc1,"[138.055, 94.065, 120.044]",3.117271296
Nc1cc(ccc1)C(O)=O,"[138.055, 94.065, 120.044]",3.770852012
NS(=O)(=O)c1ccccc1,"[141.0, 95.049, 105.045, 141.0, 95.049, 105.045, 95.049, 105.045, 77.038, 95.049, 105.045, 77.038, 95.049, 105.045, 77.038, 95.049, 105.045, 77.038, 95.049, 77.038, 105.045, 51.023, 50.015, 77.038, 51.023, 50.015, 77.038]",3.633468456
CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,"[142.939, 199.001, 114.961, 96.951, 142.939, 114.961, 96.951, 114.961, 142.938, 215.032, 199.001, 322.976, 215.032, 199.001, 322.976]",0.301029996
COP(=S)(OC)SCN1N=Nc2ccccc2C1=O,"[142.993, 132.044, 260.981, 132.044, 142.993, 260.981, 142.993, 132.044, 104.049, 142.993, 132.044, 104.05, 142.993, 95.049, 105.034, 95.049, 105.045, 78.994, 95.049, 105.045, 77.039, 51.023, 95.049, 77.039, 51.023, 50.015, 95.049, 51.023, 50.015, 74.015]",1.320146286
COP(=O)(NC(C)=O)SC,"[142.993, 144.989, 143.995, 142.993, 124.982, 142.008, 142.993, 124.982, 142.009, 124.982, 142.992, 110.966, 124.982, 142.991]",5.912753304
Nc1cccc2ccccc21,"[144.081, 143.073, 155.06]",3.230448921
