SMILES,frag_list,Kow
CC(C)NC(=O)N1CC(=O)N(c2cc(Cl)cc(Cl)c2)C1=O,"[244.988, 330.041, 287.994, 244.988, 216.993, 287.994, 244.988, 161.987, 173.987, 173.987, 56.013, 161.987, 173.987, 56.013, 161.987, 56.013, 173.987, 98.984]",3
CC(C)NC(C)(C)C,"[60.081, 57.07, 116.143, 60.081, 57.07, 116.143, 60.081, 57.07, 116.143, 60.081, 57.07, 116.143, 57.07, 60.081, 53.002, 57.07, 60.081, 53.002, 57.07, 60.081, 53.002, 57.07, 53.002, 53.998, 53.002, 57.07, 58.065]",1.56
CC(C)Nc1[n]c(Cl)[n]c(NC(C)C)[n]1,"[188.07, 146.023, 152.118, 230.117, 230.117, 188.07, 146.023, 188.07, 230.117, 146.023, 146.023, 188.07, 104.001, 146.023, 104.001, 79.006, 146.023, 104.001, 79.006, 230.117, 188.07, 146.023, 230.117, 188.07, 146.023, 188.07, 230.117, 146.023, 146.023, 188.07, 104.001, 146.023, 104.001, 79.006, 146.023, 104.001, 79.006, 188.07, 146.023, 152.118]",2.93
CC(C)Nc1[n]c(N)[n]c(Cl)[n]1,"[188.069, 190.066, 146.022, 146.022, 188.069, 148.019, 146.022, 148.019, 147.024, 146.022, 148.019, 147.024, 188.07, 146.023, 104.001, 146.023, 188.07, 104.001, 188.07, 188.07, 146.023, 104.001, 188.07, 146.023, 104.001, 146.023, 188.07, 104.001, 146.023, 104.001, 79.006, 104.001, 146.023, 79.006, 188.07, 146.023, 188.07, 146.023, 104.001, 188.07, 146.023, 104.001, 146.023, 188.07, 104.001, 146.023, 104.001, 79.006, 104.001, 146.023, 79.006, 146.023, 188.07, 110.046, 146.023, 188.07, 104.001, 146.023, 104.001, 79.006, 146.023, 188.07, 110.046, 146.023, 110.046, 104.001]",1.51
CC(C)NCC(O)c1ccc(cc1)NS(C)(=O)=O,"[255.116, 176.13, 213.07, 255.117, 273.127, 213.069, 255.116, 213.069, 176.131, 213.069, 133.076, 255.116, 133.076, 134.084, 213.069, 133.076, 106.065, 134.084, 133.076, 106.065, 107.073, 255.116, 273.127, 213.069, 255.116, 213.069, 176.131, 213.069, 133.076, 255.116, 133.076, 134.084, 213.069, 133.076, 106.065, 134.084, 133.076, 106.065, 107.073, 255.116, 213.069, 176.13, 255.117, 213.069, 273.127, 213.07, 133.076, 255.117, 133.076, 106.065, 107.073]",0.24
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,"[267.171, 74.06, 190.087, 267.17, 190.086, 225.123, 145.064, 190.085, 178.085, 145.064, 146.067, 134.059, 145.064, 117.069, 134.06, 225.123, 190.086, 208.097, 267.17, 267.171, 225.123, 190.086, 267.17, 190.086, 145.065, 145.065, 74.06, 190.086, 145.065, 133.065, 74.06, 145.065, 133.065, 107.049, 267.17, 267.171, 225.123, 190.086, 267.17, 190.086, 145.065, 145.065, 74.06, 190.086, 145.065, 133.065, 74.06, 145.065, 133.065, 107.049, 225.123, 190.086, 208.097, 267.171, 190.086, 225.124, 267.171, 74.06, 190.087, 56.05, 145.065, 74.06, 145.065, 190.087, 74.06, 145.065, 133.065, 74.06, 190.087, 225.124, 208.097, 190.087, 225.124, 208.097]",0.16
CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1,"[326.233, 116.107, 74.06, 326.233, 116.107, 222.149, 116.107, 326.233, 74.06, 116.107, 74.06, 72.081, 74.06, 116.107, 72.081, 74.06, 107.049, 56.05, 74.06, 107.049, 56.05, 326.233, 116.107, 74.06, 116.107, 74.06, 326.233, 56.05, 74.06, 72.081]",1.87
CC(C)NCC(O)COc1cccc2[nH]ccc12,"[116.107, 172.076, 146.06, 134.06, 144.081, 74.06, 116.107, 172.076, 249.16, 116.107, 172.076, 146.06]",1.75
CC(C)NCC(O)COc1cccc2ccccc12,"[260.166, 74.06, 72.08, 260.164, 116.107, 183.081, 183.081, 116.107, 157.065, 260.165, 116.107, 260.165, 116.107, 183.08, 116.107, 183.08, 260.164, 155.085, 116.107, 74.06, 155.085, 74.06, 129.07, 155.06, 129.07, 74.06, 260.165, 116.107, 260.165, 116.107, 183.08, 116.107, 183.08, 260.164, 155.085, 74.06, 116.107, 155.085, 74.06, 129.07, 129.07, 155.06, 56.049, 183.08, 116.107, 157.065]",3.48
CC(C)NCC(O)COc1ccccc1OCC=C,"[195.092, 72.08, 209.107, 266.176, 72.081, 225.136, 72.081, 116.107, 56.05, 72.081, 56.05, 58.065, 72.081, 56.05, 58.065, 72.081, 56.05, 58.065, 56.05, 72.081, 58.065]",2.1
CC(C)OC(=O)Nc1cccc(Cl)c1,"[94.065, 106.065, 124.087]",3.51
CC(C)Oc1cc(c(Cl)cc1Cl)N1N=C(OC1=O)C(C)(C)C,"[303.03, 219.956, 176.951, 303.03, 345.077, 219.956, 219.956, 303.03, 176.951, 176.951, 184.988, 219.956, 184.987, 176.951, 148.956, 184.988, 176.951, 148.956, 112.979, 148.956, 128.998, 84.984, 94.029, 112.979, 84.984, 53.002, 62.963, 53.002, 84.984, 62.963]",4.8
CC(C1CC1)C(O)(C[n]1c[n]c[n]1)c1ccc(Cl)cc1,"[125.015, 138.995, 292.121, 70.04, 125.015, 70.04, 292.121, 125.015, 70.04, 125.015, 138.994, 70.04, 125.015, 138.994, 125.015, 70.04, 138.994, 125.015, 70.04, 89.039, 292.121, 70.04, 125.015, 70.04, 292.121, 125.015, 70.04, 125.015, 138.994, 70.04, 125.015, 138.994, 125.015, 70.04, 138.994, 125.015, 70.04, 89.039, 125.015, 138.995, 165.047, 70.04, 125.015, 138.994]",2.9
CC(CC)(CC)c1cc(NC(=O)c2c(cccc2OC)OC)o[n]1,"[333.18, 165.054, 85.101, 165.054, 333.181, 85.101, 165.054, 150.031, 107.049, 165.054, 150.031, 122.036, 165.055, 150.031, 122.036, 122.036, 107.013, 150.031, 107.013, 122.036, 79.018, 107.013, 55.018, 79.018, 55.018, 107.013, 63.023]",3.94
CC(CC)N=C1NC(Cl)=NC(N1)=NCC,"[174.054, 96.055, 104.001, 230.117, 174.054, 230.117, 174.054, 104.001, 174.054, 230.117, 104.001, 174.054, 132.032, 146.023, 104.001, 174.054, 68.024, 104.001, 68.024, 96.056, 230.117, 174.054, 230.117, 174.054, 174.054, 230.117, 146.023, 174.054, 146.023, 132.032, 104.001, 174.054, 68.024, 104.001, 68.024, 79.006, 174.054, 188.07, 104.001]",2.61
CC(CC)SP(=O)(OCC)N1CCSC1=O,"[227.991, 104.016, 199.959, 104.016, 227.991, 199.96, 104.016, 199.959, 137.959, 104.016, 137.959, 199.96, 104.016, 137.959, 61.011]",1.68
"CC(Cc1ccc(cc1)C(C)(C)C)CN1C[C@@H](C)O[C@@H](C)C1 |o1:16,19|","[304.264, 147.117, 130.123, 130.123, 147.117, 116.107, 304.263, 304.263, 304.263, 147.117, 130.123, 147.117, 98.096, 304.263, 147.117, 132.093, 98.097, 132.093, 117.07, 119.085, 304.263, 147.117, 304.263, 304.263, 147.117, 130.123, 147.117, 304.264, 98.096, 147.117, 132.093, 119.085, 132.093, 117.07, 147.117, 130.123, 147.117, 116.107]",4.93
CC(CCc1ccccc1)NCC(O)c1cc(c(O)cc1)C(N)=O,"[162.055, 311.176, 91.054]",3.09
CC(CCl)OP(=O)(OC(C)CCl)OC(C)CCl,"[98.984, 174.992, 251.0]",2.59
CC(N)COc1c(C)cccc1C,"[58.065, 180.138, 163.112, 58.065, 180.138, 163.112, 58.065, 105.07, 121.065, 58.065, 105.07, 121.065, 58.065, 105.07, 121.065, 58.065, 105.07, 79.054, 58.065, 180.138, 163.112, 58.065, 180.138, 163.112, 58.065, 105.07, 121.065, 58.066, 105.07, 121.065, 58.066, 105.07, 79.054]",2.15
CC(Oc1ccc(cc1)Oc1ccc(c[n]1)C(F)(F)F)C(O)=O,"[282.074, 256.058, 255.05, 328.079, 328.079, 282.074, 255.05, 282.074, 254.079, 255.05, 238.047, 91.054, 254.042, 238.047, 91.054, 254.042, 254.042, 91.054, 164.032, 328.079, 282.075, 328.079, 282.074, 255.05, 282.074, 254.079, 255.05, 238.047, 91.054, 254.042, 238.047, 91.054, 254.042, 254.042, 91.054, 164.032, 282.074, 256.058, 255.05]",3.18
CC(Oc1cccc2ccccc21)C(=O)N(CC)CC,"[272.164, 199.075, 273.168, 171.08, 129.114, 199.075, 171.08, 129.114, 143.084, 171.08, 143.085, 153.069, 128.061, 153.068, 127.053, 199.076, 171.081, 128.107, 272.165, 199.076, 74.096, 129.115, 171.081, 199.075, 171.081, 129.115, 58.065, 171.081, 58.065, 72.081, 58.065, 72.081, 171.08, 58.065, 128.062, 72.081, 272.164, 199.075, 74.096, 129.115, 171.081, 199.076, 171.081, 129.115, 58.065, 171.081, 58.065, 72.081, 58.065, 72.081, 171.08, 58.065, 128.062, 72.081, 199.075, 171.081, 128.107]",3.36
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O)OC,"[158.118, 83.049, 590.396, 748.485, 590.39, 158.116, 158.116, 590.389, 159.119, 158.117, 116.07, 158.117, 159.12, 116.106, 748.487, 749.491, 750.493]",3.16
CC/C(/c1ccc(O)cc1)=C(/CC)\c1ccc(O)cc1,"[107.049, 199.075, 135.08, 107.049, 181.065, 121.065, 135.08, 199.075, 251.143, 135.08, 199.075, 251.143]",5.07
CC1(C)C(C1C=C(Cl)Cl)C(=O)OCc1cccc(c1)Oc1ccccc1,"[149.023, 167.034, 71.085, 149.023, 71.085, 167.034, 149.023, 71.085, 57.07, 149.023, 71.085, 57.07, 149.023, 121.028, 65.039, 149.023, 121.028, 65.039]",6.5
CC1(C)Cc2cccc(OC(=O)NC)c2O1,"[165.091, 222.112, 123.044, 165.091, 123.044, 222.112, 123.044, 165.091, 137.06, 123.044, 165.091, 137.06, 123.044, 91.054, 95.049, 123.044, 95.049, 91.054]",2.32
CC1(C)CON(Cc2ccccc2Cl)C1=O,"[125.015, 240.079, 128.071, 125.015, 128.071, 100.076, 240.079, 125.015, 128.07, 125.015, 240.079, 128.071, 125.015, 240.08, 89.039, 125.015, 89.039, 125.015, 89.038, 99.0, 125.015, 89.039, 99.0, 240.079, 125.015, 128.071, 125.015, 240.079, 128.071, 125.015, 240.079, 73.065, 125.015, 89.039, 99.0, 125.015, 89.039, 99.0, 125.015, 89.039, 99.0, 125.015, 128.071, 100.076, 125.015, 240.078, 89.038, 125.015, 89.038, 98.999, 125.015, 128.07, 240.078, 125.015, 128.07, 100.076]",2.5
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(O)=O,"[349.085, 208.043, 114.001, 114.001, 134.06, 160.043, 114.001, 134.06, 70.065, 114.001, 134.06, 114.037, 114.001, 134.06, 86.006, 86.006, 114.001, 134.06]",0.87
CC1(C=C)OC(=O)N(c2cc(Cl)cc(Cl)c2)C1=O,"[286.003, 214.018, 217.977, 217.977, 286.003, 214.018, 173.987, 217.977, 179.049, 173.987, 217.977, 164.026, 173.987, 144.081, 164.026, 173.987, 164.026, 144.081]",3.1
Cc1[n][n]c([s]1)SCC1CS[C@@H]2[C@H](NC(=O)C[n]3c[n][n][n]3)C(=O)N2C=1C(O)=O,"[323.059, 455.041, 324.06, 156.012, 323.059, 295.063, 156.013, 153.049, 166.045, 156.012, 153.049, 139.034, 132.99, 156.013, 139.034]",-0.58
Cc1[n][n]c(NS(=O)(=O)c2ccc(N)cc2)[s]1,"[156.012, 108.045, 68.049]",0.54
Cc1[n][n]c2CN=C(c3cc(Cl)ccc3-[n]21)c1ccccc1,"[309.091, 281.072, 311.089]",2.12
Cc1[n]c([n]c(OC(=O)N(C)C)c1C)N(C)C,"[72.044, 239.15, 182.129, 182.129, 195.161, 72.044, 239.15, 182.129, 72.044, 239.15, 182.129, 72.044, 72.044, 182.129, 239.151, 72.044, 182.129, 85.076, 72.044, 85.076, 109.076, 72.044, 109.076, 85.076, 239.15, 182.129, 72.044, 239.15, 182.129, 72.044, 72.044, 182.129, 239.149, 72.044, 182.129, 85.076, 72.044, 85.076, 182.129, 72.044, 109.076, 85.076, 182.129, 195.161, 72.044, 72.044, 182.129, 85.076, 72.044, 109.076, 85.076, 182.129, 195.16, 239.15, 182.129, 195.16, 72.044]",1.7
Cc1[n]c(NC(=O)NS(=O)(=O)c2cc[s]c2C(=O)OC)[n]c([n]1)OC,"[388.038, 167.055, 389.04, 167.055, 141.076, 204.961, 167.055, 204.961, 141.076, 167.056, 204.961, 141.076, 167.055, 204.961, 125.976, 167.056, 141.077, 204.963, 167.056, 388.038, 141.077, 167.056, 204.962, 141.077, 167.056, 204.963, 141.077, 167.056, 204.963, 141.077, 125.977, 167.056, 204.962, 125.977, 97.982, 83.024, 167.056, 388.038, 141.077, 167.056, 204.962, 141.077, 167.056, 204.962, 141.077, 167.056, 204.962, 141.077, 125.977, 167.056, 204.962, 125.977, 97.982, 83.024, 167.056, 141.077, 204.963]",1.56
Cc1[n]c(NC(=O)NS(=O)(=O)c2ccccc2C(=O)OC)[n]c([n]1)OC,"[167.056, 350.055, 199.006, 167.056, 382.082, 199.006, 167.056, 199.006, 141.077, 167.056, 199.006, 135.044, 167.056, 135.044, 141.077, 167.056, 135.044, 77.039, 77.039, 69.008, 92.026, 167.056, 382.082, 199.006, 167.056, 199.006, 141.077, 167.056, 199.006, 135.044, 167.056, 135.044, 141.077, 167.056, 135.044, 77.038, 77.039, 69.008, 92.026, 167.056, 350.055, 199.006]",2.2
Cc1[n]c(NCC)[n]c(OS(=O)(=O)N(C)C)c1CCCC,"[317.164, 166.097, 108.011]",2.7
Cc1[n]c2cc([n][n]2cc1C(=O)OCC)OP(=S)(OCC)OCC,"[374.093, 222.087, 194.056, 194.056, 222.087, 176.046, 194.056, 176.046, 148.051, 346.063, 222.088, 238.065, 346.062, 222.088, 238.065]",3.8
Cc1[n]ccc2c1[nH]c1ccccc21,"[183.091, 168.068, 142.065]",3.1
Cc1[nH]c[n]c1CSCCN/C(/NC)=N/C#N,"[253.123, 159.07, 117.048, 159.07, 117.048, 95.06, 95.06, 159.07, 117.048, 95.06, 117.048, 99.066, 95.06, 117.048, 99.066, 95.06, 117.048, 82.04, 95.06, 54.034, 61.011, 54.034, 95.06, 61.011, 54.034, 57.045, 61.011]",0.4
Cc1[nH]cc[n]1,[83.06],0.24
CC1=CC(=O)N=C(N1)C(C)C,"[153.102, 154.104, 155.107, 153.102, 154.104, 137.07, 137.07, 153.102, 138.077, 137.07, 138.074, 153.1, 153.102, 84.044, 70.065, 153.102, 84.044, 70.065, 153.102, 84.045, 138.079, 153.102, 84.045, 137.071, 153.102, 84.044, 70.065, 153.102, 84.044, 70.065, 84.044, 153.102, 70.065, 84.044, 70.065, 153.102, 153.102, 84.044, 137.07, 153.102, 84.044, 137.071, 153.102, 84.044, 70.065, 153.102, 84.044, 70.065, 84.044, 153.102, 70.065, 84.044, 70.065, 153.102, 153.102, 84.044, 70.065, 153.103, 84.045, 70.065, 84.044, 153.103, 70.065, 153.103, 84.045, 70.065, 84.044, 153.103, 70.065]",0.55
CC1=CC(=O)Oc2cc(O)ccc21,"[177.055, 105.07, 121.065, 121.065, 103.055, 177.055, 177.055, 105.07, 133.065, 105.07, 133.065, 121.065]",1.9
CC1=NN=C(C(=O)N1N)c1ccccc1,"[203.093, 204.095, 175.096, 203.093, 175.097, 145.038, 175.096, 203.091, 174.077, 175.097, 118.052, 203.093, 175.098, 104.049, 175.098, 174.079, 106.065, 203.093, 203.093, 175.098, 174.079, 203.093, 175.098, 174.079, 175.098, 203.092, 104.049, 104.049, 175.098, 174.079, 104.049, 77.039, 175.098, 203.093, 175.097, 104.049, 203.093, 175.098, 174.079, 203.093, 175.098, 174.079, 175.098, 203.093, 104.049, 104.05, 175.098, 77.039, 104.049, 77.039, 175.098, 175.098, 174.079, 106.065, 175.098, 203.093, 104.049, 104.049, 175.098, 77.038, 203.093, 175.098, 174.079, 175.098, 174.079, 106.065]",0.83
CC12CC1(C)C(=O)N(c1cc(Cl)cc(Cl)c1)C2=O,"[284.024, 256.029, 67.054, 284.024, 256.029, 113.06, 256.029, 284.024, 95.049, 256.029, 95.049, 67.054, 67.054, 95.049, 185.987, 67.054, 238.018, 185.987, 67.054, 238.018, 172.967]",3.08
CC12CC3CC(N)(CC(C)(C3)C1)C2,"[163.148, 180.175, 107.085, 163.148, 180.175, 107.085, 163.148, 180.175, 107.085, 163.148, 107.085, 180.175, 163.148, 107.085, 93.07, 107.085, 163.148, 93.07, 107.085, 91.054, 93.07, 91.054, 107.086, 105.07, 91.054, 65.039, 79.054, 91.054, 65.039, 95.049]",3.28
Cc1c(c(NC(CC)CC)c(cc1C)[N+]([O-])=O)[N+]([O-])=O,"[214.071, 176.143, 212.067, 212.067, 71.085, 194.056, 212.067, 194.056, 71.085, 194.056, 212.067, 118.052, 91.042, 148.063, 119.06, 119.06, 91.042, 92.049, 92.049, 119.06, 65.039, 194.056, 148.063, 118.053, 119.06, 148.063, 92.049, 212.066, 194.056, 266.02, 212.067, 194.056, 266.019]",5.2
Cc1c(CC(O)=O)c2cc(ccc2[n]1C(=O)c1ccc(Cl)cc1)OC,"[138.994, 358.084, 174.091, 174.091, 138.995, 312.079, 358.084, 138.995, 174.091, 138.994, 174.091, 312.078, 138.994, 174.091, 110.999, 138.994, 139.006, 87.0, 138.995, 87.0, 111.0, 139.006, 138.995, 87.0, 358.084, 138.995, 174.091, 138.995, 174.091, 358.085, 138.995, 174.091, 87.0, 138.995, 139.006, 87.0, 138.995, 139.006, 87.0, 139.006, 138.995, 87.0, 174.091, 138.995, 312.079]",4.27
Cc1c(NS(=O)(=O)c2ccc(N)cc2)o[n]c1C,"[156.012, 113.072, 108.046]",1.01
Cc1c[n]c(CS(=O)c2[nH]c3ccc(cc3[n]2)OC)c(C)c1OC,"[198.058, 346.122, 168.102, 198.052, 151.094, 168.096, 136.075, 151.099, 198.058, 136.075, 180.047, 151.099, 136.075, 150.091, 180.047, 198.059, 136.076, 151.099]",2.23
Cc1c[n]c(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)[s]1,"[352.041, 353.045, 115.028, 141.006, 115.028, 352.039, 141.006, 115.028, 142.008, 141.006, 115.028, 152.994, 141.006, 115.028, 152.995]",3.43
Cc1c[n]c2ccc3c([n]c(N)[n]3C)c2[n]1,"[214.109, 173.082, 199.085, 199.085, 173.082, 214.108]",1.01
CC1c2ccc(cc2OC(=O)C=1Cl)OP(=S)(OCC)OCC,"[363.021, 365.019, 364.025, 363.023, 306.951, 226.987, 226.993, 228.99, 306.959, 226.993, 228.99, 211.016, 226.992, 211.016, 225.985]",4.13
Cc1cc([n]c([n]1)C(C)C)OP(=O)(OCC)OCC,"[153.102, 261.1, 233.069, 289.131, 153.103, 261.099, 153.102, 289.131, 261.1, 153.102, 233.069, 289.131, 153.102, 84.044, 135.092, 153.102, 84.044, 70.065, 84.044, 153.102, 70.065, 289.131, 153.102, 261.1, 153.102, 289.131, 261.1, 153.102, 233.069, 289.132, 153.102, 84.044, 135.092, 153.102, 84.044, 70.065, 84.044, 153.102, 70.065, 153.102, 261.1, 233.069]",2.07
Cc1cc([n]c([n]1)C(C)C)OP(=S)(OCC)OCC,"[305.112, 307.106, 169.079, 169.079, 305.108, 153.101, 169.079, 153.101, 249.045, 169.079, 153.101, 135.091, 169.079, 153.101, 135.091, 305.108, 169.079, 153.102, 169.08, 153.103, 277.077, 305.109, 169.079, 305.108, 169.079, 153.102, 169.08, 153.102, 96.951, 169.079, 153.102, 96.951, 169.079, 100.022, 96.951, 100.022, 96.951, 114.961, 305.109, 169.079, 153.102, 305.109, 169.079, 153.102, 169.079, 153.102, 96.951, 169.08, 153.102, 96.951, 169.079, 100.022, 96.951, 100.022, 96.951, 114.961, 169.079, 153.102, 277.077, 169.079, 153.102, 96.951, 100.022, 169.079, 96.951, 169.079, 153.102, 100.021]",3.81
Cc1cc([n]c([n]1)N(CC)CC)OP(=S)(OC)OC,"[306.103, 164.118, 108.056, 108.055, 164.118, 95.06, 108.055, 124.982, 95.06, 278.072, 164.118, 274.077, 278.072, 164.118, 274.077, 169.079, 153.102, 96.951, 100.022, 169.079, 96.951, 169.079, 153.102, 100.021]",4.2
Cc1cc(C)[n]c(C)c1,"[122.096, 79.054, 81.07]",1.88
Cc1cc(C)[n]c(Nc2ccccc2)[n]1,"[200.118, 107.06, 183.092, 200.118, 200.118, 200.118, 183.091, 82.065, 200.118, 183.092, 107.06, 200.118, 183.092, 107.06, 200.118, 82.065, 107.06, 200.118, 200.118, 200.118, 107.06, 183.092, 200.118, 183.092, 107.06, 200.118, 183.092, 107.06, 200.118, 82.065, 107.06, 200.118, 107.06, 183.092]",2.84
Cc1cc(C)[n]c(NS(=O)(=O)c2ccc(N)cc2)[n]1,"[204.044, 156.012, 124.087, 204.043, 279.091, 156.01, 124.086, 204.043, 156.011, 124.086, 213.112, 204.043, 124.086, 213.112, 125.089, 279.091, 156.01, 186.032, 279.091, 204.044, 124.087, 186.033, 204.044, 124.087, 279.091, 186.034, 149.024, 279.091, 186.033, 204.044, 124.087, 186.033, 156.011, 124.087, 108.044, 92.049, 124.087, 108.044, 92.049, 124.087, 108.044, 92.049, 279.091, 186.034, 149.023, 279.091, 186.033, 124.087, 124.087, 186.033, 108.044, 124.087, 108.044, 92.049, 124.087, 108.044, 92.049, 124.087, 92.049, 108.044, 186.033, 204.044, 124.087, 124.087, 108.044, 92.049, 124.087, 92.049, 108.044, 186.033, 279.091, 204.044, 186.033, 204.044, 124.087, 208.018, 146.069, 127.006, 208.018, 146.069, 226.028]",0.19
Cc1cc(C)c(cc1)N=CNC,"[122.097, 132.081, 120.081, 163.123, 122.096, 163.123, 122.097, 132.081, 163.123, 122.096, 132.081, 163.123, 122.096, 132.081, 122.096, 107.073, 132.081, 107.073, 105.07, 117.057, 163.123, 163.123, 122.097, 132.081, 163.123, 122.096, 132.081, 163.123, 122.096, 132.081, 122.096, 107.073, 132.081, 107.073, 105.07, 117.057, 122.096, 132.081, 120.081]",2.92
Cc1cc(C#CC)[n]c(Nc2ccccc2)[n]1,"[224.119, 106.065, 223.11, 224.119, 106.065, 183.092, 224.119, 106.065, 209.095, 224.119, 106.065, 209.095, 106.065, 224.119, 104.05, 106.065, 95.049, 79.054]",3.28
Cc1cc(ccc1)C(=O)N(CC)CC,"[192.138, 193.141, 119.048, 119.049, 192.138, 193.141, 119.049, 120.052, 192.137, 119.049, 118.064, 120.051, 119.049, 192.138, 100.076, 119.049, 192.139, 100.076, 192.138, 119.049, 192.139, 119.049, 72.044, 119.049, 192.138, 100.076, 119.049, 192.138, 91.054, 119.049, 91.054, 119.061, 91.054, 119.049, 119.061, 192.138, 119.049, 176.107, 192.138, 119.049, 100.076, 119.049, 192.138, 72.044, 119.049, 192.138, 91.054, 119.049, 91.054, 119.06, 91.054, 119.049, 119.06, 119.049, 192.138, 100.076, 192.138, 119.049, 91.054, 119.049, 91.054, 72.045, 91.054, 65.039, 44.013, 119.049, 192.139, 91.055, 119.049, 91.054, 109.065, 119.049, 192.139, 100.076, 119.049, 100.076, 91.055, 77.039, 105.045, 95.049, 77.039, 105.045, 95.049, 77.039, 105.045, 77.039, 105.045]",2.18
Cc1cc(ccc1)NC(=O)Oc1cc(ccc1)NC(=O)OC,"[168.065, 136.038, 169.068, 136.039, 168.065, 137.042, 136.038, 168.065, 137.042, 136.038, 137.042, 168.064, 136.039, 137.043, 168.065, 136.039, 168.065, 136.039, 136.039, 168.065, 108.044, 136.039, 108.044, 168.065, 136.039, 108.044, 93.033, 136.039, 108.044, 93.034, 65.039, 108.044, 121.04, 168.065, 136.039, 136.039, 168.065, 108.044, 136.039, 108.044, 168.065, 136.039, 108.044, 93.033, 136.039, 108.044, 121.04, 65.039, 108.044, 93.034, 168.065, 136.039]",3.59
Cc1cc(ccc1)Nc1cc[n]cc1S(=O)(=O)NC(=O)NC(C)C,"[264.08, 183.092, 290.06, 264.08, 349.133, 290.06, 264.08, 290.06, 183.091, 264.08, 183.092, 219.059, 183.092, 264.08, 168.068, 168.068, 183.092, 182.084, 168.068, 183.092, 182.084]",3.37
Cc1cc(ccc1SC)OP(=S)(OC)OC,"[279.027, 247.001, 169.013, 169.013, 247.0, 138.049, 169.013, 153.036, 124.981, 168.986, 153.036, 169.013, 168.986, 121.01, 152.982, 231.024, 279.027, 216.0]",4.09
Cc1cc(NS(=O)(=O)c2ccc(N)cc2)[n]o1,"[156.012, 108.046, 254.06, 156.01, 254.059, 160.085, 156.01, 160.086, 147.078, 156.011, 146.071, 147.078, 146.07, 147.077, 119.061, 254.059, 156.01, 190.096, 254.059, 156.011, 108.044, 156.012, 188.082, 147.079, 254.06, 156.011, 190.098, 254.059, 156.011, 108.044, 156.012, 108.044, 92.049, 108.044, 92.049, 156.011, 108.044, 92.049, 65.039, 92.049, 108.044, 65.039, 254.06, 156.011, 188.082, 254.06, 156.011, 108.044, 156.011, 108.044, 92.049, 108.044, 92.049, 156.011, 108.044, 92.049, 65.039, 92.049, 108.044, 65.039, 156.011, 188.082, 147.079, 254.06, 156.011, 188.082, 92.049, 108.044, 156.011, 92.049, 65.039, 108.044]",0.89
Cc1cc[n]c(NS(=O)(=O)c2ccc(N)cc2)[n]1,"[156.012, 190.029, 265.077]",0.14
Cc1cc2ccc(Cl)c(C(O)=O)c2[n]c1,"[204.021, 222.032, 176.026, 204.021, 222.032, 140.049, 204.021, 222.032, 140.049, 204.021, 222.032, 176.026, 204.021, 176.026, 222.032, 141.057, 204.021, 149.015, 141.057, 149.015, 140.049, 140.049, 141.057, 149.015, 140.049, 113.038, 114.046, 113.039, 88.031, 140.049]",0.78
Cc1cc2ccccc2[nH]1,"[132.081, 117.057, 105.07]",2.53
Cc1ccc(cc1)S(=O)(=O)N(C)N=O,"[159.03, 158.027, 142.004, 142.004, 141.0, 159.03, 95.049, 96.052, 121.028, 95.049, 96.052, 55.054, 96.052, 95.049, 55.054, 95.049, 55.054, 96.052]",0.58
Cc1ccc(cc1)S(N)(=O)=O,"[91.054, 119.06, 109.065, 155.016, 119.06, 109.065, 119.06, 155.016, 109.065, 119.06, 91.054, 109.065, 91.054, 119.06, 109.065, 91.054, 65.039, 119.06, 91.054, 65.039, 119.061, 65.039, 91.054, 63.023, 65.039, 91.054, 63.023, 65.039, 63.023, 51.023, 119.061, 91.055, 91.054, 119.061, 155.017, 119.061, 91.055, 155.017, 119.061, 91.055]",0.82
Cc1ccc(cc1Cl)NC(=O)N(C)C,"[72.044, 213.079, 140.026, 72.044, 168.021, 213.079, 72.044, 213.079, 72.044, 168.021, 72.044, 213.078, 168.021, 72.044, 140.026, 168.021, 72.044, 140.026, 125.015, 72.044, 140.026, 125.015, 213.079, 72.044, 213.079, 72.044, 168.021, 72.044, 213.079, 168.021, 72.044, 140.026, 168.021, 72.044, 140.026, 125.015, 72.044, 140.026, 125.015, 72.044, 213.079, 168.021, 72.044, 140.026, 168.021, 72.044, 140.026, 125.015, 72.044, 213.079, 168.021, 72.044, 168.021]",2.41
Cc1ccc[n][n]1,"[95.06, 68.049, 67.042]",-0.35
