SMILES,frag_list,Kow
C[C@@H](O)[C@@H](NC(=O)[C@@H]1C[C@@H](CCC)CN1C)[C@H]1O[C@H](SC)[C@H](O)[C@@H](O)[C@H]1O,"[126.128, 407.224, 127.131, 126.128, 126.128, 359.218, 389.211, 126.128, 359.218, 389.211, 126.128]",0.2
C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,"[149.022, 393.208, 373.202, 149.022, 355.191, 167.035, 149.022, 237.126, 149.022, 171.079, 147.082, 149.023, 150.027, 373.201, 355.19, 337.18, 373.201, 355.19, 337.18, 237.127, 355.19, 279.174, 147.081, 237.127, 171.081, 147.081, 121.065, 171.08, 147.081, 121.065, 119.085, 121.065, 91.054, 105.07, 373.201, 355.19, 337.18, 237.127, 355.19, 279.174, 147.08, 237.127, 171.08, 147.08, 121.065, 171.081, 121.065, 147.08, 119.085, 121.065, 91.054, 128.062, 373.201, 355.19, 337.18]",1.885
C[C@H](Cc1ccccc1)N(C)CC#C,"[188.143, 189.146, 119.085, 188.143, 119.085, 141.05, 141.05, 119.086, 148.11, 115.055, 119.086, 188.143, 91.054, 119.086, 91.054, 188.143, 91.054, 119.086, 70.065, 91.054, 70.065, 119.086, 91.054, 70.065, 65.039, 91.054, 65.039, 70.065, 91.054, 65.039, 63.023, 91.054, 65.039, 63.023, 65.039, 91.054, 63.023]",2.9
C[C@H](CS)C(=O)N1CCC[C@H]1C(O)=O,"[116.071, 70.065, 75.026]",0.34
C[C@H](N[C@@H](CCc1ccccc1)C(=O)OCC)C(=O)N1CCC[C@H]1C(O)=O,"[377.207, 234.149, 117.07]",0.07
C[n]1[n][n]c2ccccc12,"[134.072, 135.075, 134.072, 135.075, 133.063, 134.071, 133.063, 135.074, 134.071, 133.063, 117.045, 133.063, 134.071, 134.071, 72.044, 56.05, 134.071, 72.044, 56.05, 72.044, 134.071, 56.05, 72.044, 134.072, 56.05, 72.044, 79.054, 56.05, 79.054, 72.044, 56.05, 95.049, 79.054, 105.045, 51.023, 95.049, 105.045, 51.023, 95.049, 105.045, 134.071, 91.041, 77.038]",1.13
C[n]1c(N)[n]c2[n]cc(cc12)-c1ccccc1,"[225.113, 210.09, 208.087, 225.113, 210.09, 208.087, 225.113, 210.089, 208.087]",2.23
C[n]1c(N)[n]c2c3ccc[n]c3ccc12,"[199.098, 184.074, 158.071, 184.074, 158.071, 199.098]",1.47
C[Si](C[n]1c[n]c[n]1)(c1ccc(F)cc1)c1ccc(F)cc1,"[316.108, 165.07, 185.076, 247.075, 169.048, 165.07, 316.107, 316.107, 169.048, 247.075, 165.07, 169.048, 247.075, 165.07, 77.039, 185.076, 165.07, 77.038, 219.043, 165.07, 109.045, 77.039, 316.107, 169.048, 187.058, 316.107, 169.048, 247.075, 165.07, 169.048, 247.075, 165.07, 77.039, 185.076, 165.07, 77.038, 219.043, 165.07, 109.045, 77.039, 247.075, 169.048, 165.07, 165.07, 219.043, 169.048, 165.07, 109.045, 152.062, 247.075, 169.048, 165.07, 247.075, 169.048, 165.07]",3.7
C#CCN1c2cc(c(F)cc2OCC1=O)N1C(=O)C2CCCCC=2C1=O,"[355.109, 327.114, 204.046, 355.109, 327.114, 299.082, 299.082, 327.114, 176.05, 299.082, 148.056, 107.049, 79.054, 148.056, 107.049, 79.054, 148.056, 95.049]",2.55
C=CC(N)CCC(O)=O,"[71.049, 113.059, 67.054, 71.049, 113.059, 67.054, 71.049, 113.059, 67.054, 71.049, 67.054, 113.059, 71.049, 67.054, 65.038, 71.049, 67.054, 65.038, 71.049, 67.054, 65.038, 67.054, 65.038, 71.049, 65.038, 67.054, 53.002]",-2.16
C=CCN(CC=C)C(=O)C(Cl)Cl,"[208.03, 210.027, 139.967, 139.966, 208.03, 141.962]",1.84
C=CCOC(=O)c1ccccc1C(=O)OCC=C,"[189.055, 53.002, 149.023]",3.23
C=CCOC(C[n]1c[n]cc1)c1ccc(Cl)cc1Cl,"[297.056, 158.976, 69.045, 158.976, 109.076, 172.992, 158.976, 81.045, 141.07, 255.008, 200.987, 158.976, 255.009, 200.987, 158.976]",3.82
