SMILES,frag_list,MP
CCN(CC(=O)Nc1c(C)cccc1C)CC,"[235.18, 173.079, 217.107, 134.096, 235.18, 155.068, 134.096, 173.107, 122.096, 86.096, 58.065, 235.18, 86.096, 235.18, 86.096, 58.065, 86.097, 235.181, 58.065, 86.097, 58.065, 86.096, 58.065, 86.096, 58.065, 235.18, 86.096, 235.181, 86.096, 58.065, 86.097, 235.18, 58.065, 86.096, 58.065, 86.096, 58.065, 86.096, 58.065, 86.096, 58.065, 86.097, 58.066, 86.097, 58.066, 86.097, 58.066, 134.097, 235.181, 86.097, 86.097, 235.181, 86.097, 235.181, 58.065, 86.097, 58.065, 86.097, 58.065, 86.096, 133.008, 235.181, 86.096, 133.008, 134.096, 86.096, 235.181, 133.008, 86.096, 133.008, 179.013]",68.5
CCN1CCN(CC1)c1cc2c(cc1F)C(=O)C(=CN2C1CC1)C(O)=O,"[360.174, 358.159, 316.184, 261.104, 358.156, 360.172, 286.099, 255.056, 261.103, 360.172, 316.182, 342.161, 316.182, 360.172, 342.161, 245.109, 360.172, 316.182, 245.109, 286.099, 203.062, 203.062, 70.065, 189.046, 203.062, 70.065, 189.046, 148.056, 134.04, 107.029, 107.029, 89.039, 148.056, 107.029, 75.023, 89.039, 261.104, 318.162, 316.183, 344.141, 318.162, 316.183, 344.142]",220
CN1[C@@H](CCC1=O)c1ccc[n]c1,"[177.102, 80.049, 98.06, 177.102, 80.049, 98.06, 177.102, 80.049, 98.06, 80.049, 177.102, 98.06, 80.049, 98.06, 177.102, 80.049, 98.06, 70.065, 80.049, 98.06, 70.065, 80.049, 53.039, 70.065, 80.049, 53.039, 96.044, 177.103, 80.05, 98.061, 80.05, 98.061, 177.103, 177.103, 146.061, 98.06, 146.061, 98.06, 80.05]",41
OP(=O)(Oc1ccccc1)Oc1ccccc1,"[251.047, 95.049, 153.07, 251.047, 95.049, 153.07]",67.5
O=C1c2ccccc2Cc2ccccc21,"[195.081, 177.07, 69.07]",155
Cc1cc(C)[n]c(C)c1,"[122.096, 79.054, 81.07]",-46
OC(=O)c1cc2ccccc2cc1,"[145.065, 155.06, 117.07, 129.07, 155.049, 145.065]",185.5
NS(=O)(=O)c1ccccc1,"[141.0, 95.049, 105.045, 141.0, 95.049, 105.045, 95.049, 105.045, 77.038, 95.049, 105.045, 77.038, 95.049, 105.045, 77.038, 95.049, 105.045, 77.038, 95.049, 77.038, 105.045, 51.023, 50.015, 77.038, 51.023, 50.015, 77.038]",151
Nc1cc(Cl)c(cc1S(N)(=O)=O)S(N)(=O)=O,"[268.945, 204.983, 220.978, 157.016, 173.995, 173.011, 173.995, 173.011, 142.005, 89.026, 173.995, 173.011]",254.5
CN1CCN(C)C1=O,"[115.087, 116.09, 115.087, 113.07]",8.2
CC(=O)Nc1ccc(O)cc1,"[152.072, 110.062, 65.039, 152.071, 110.06, 93.034, 152.071, 110.06, 93.034, 152.071, 110.06, 134.06, 152.071, 110.06, 152.071, 110.06, 134.06, 152.071, 110.06, 134.06, 110.06, 152.071, 92.049, 110.06, 65.039, 93.034, 110.06, 65.039, 93.034, 152.071, 110.06, 152.071, 110.06, 65.038, 152.071, 110.06, 134.06, 110.06, 152.071, 65.039, 110.06, 65.039, 93.034, 110.06, 65.039, 92.049, 152.071, 110.06, 134.06, 110.06, 152.071, 92.049, 110.06, 92.049, 93.034, 110.06, 134.06, 152.071, 110.06, 134.06, 111.044]",170
COc1ccc2C[C@@H]3[C@@H]4C=C[C@H](O)[C@@H]5Oc1c2[C@]45CCN3C,"[300.161, 301.165, 302.167, 300.162, 301.165, 243.103, 300.162, 301.165, 215.108, 199.076, 165.071, 300.161, 165.071, 153.071, 181.066, 215.107, 243.101, 225.091, 300.159, 300.159, 243.101, 215.107, 300.159, 215.107, 243.101, 300.16, 215.107, 199.075, 165.07, 199.075, 181.065, 165.07, 153.07, 181.065, 300.159, 300.159, 243.101, 282.149, 300.159, 215.107, 243.101, 300.159, 215.107, 199.075, 165.07, 199.075, 181.065, 165.07, 153.07, 181.065, 215.107, 243.101, 225.091]",157.5
CC1c2ccc(cc2OC(=O)C=1Cl)OP(=S)(OCC)OCC,"[363.021, 365.019, 364.025, 363.023, 306.951, 226.987, 226.993, 228.99, 306.959, 226.993, 228.99, 211.016, 226.992, 211.016, 225.985]",93
CC(C)(C#C)NC(=O)c1cc(Cl)cc(Cl)c1,"[189.982, 172.956, 256.029, 189.982, 256.029, 172.956, 189.982, 172.956, 256.029, 172.956, 189.982, 67.054, 172.956, 172.966, 189.982, 172.967, 172.956, 67.054, 172.967, 172.956, 108.984]",155
O=C1NC=C(F)C(=O)N1,"[84.96, 113.999, 88.019, 131.025, 131.025, 84.96, 113.999, 131.025, 113.999, 84.96, 113.998, 131.025, 84.96, 113.999, 131.025, 84.96, 113.999, 84.96, 58.009, 131.025, 84.96, 131.025, 84.96, 113.998, 131.025, 84.96, 113.999, 113.999, 131.025, 84.96, 113.999, 84.96, 131.025, 113.998, 84.96, 58.009, 84.96, 113.999, 113.023]",283
NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,"[280.945, 268.945, 280.945, 297.971, 232.978, 280.945, 232.978, 216.983, 232.978, 216.983, 203.951, 139.99, 203.952, 142.959, 139.99, 107.99, 125.003, 139.99, 107.99, 125.002, 280.945, 297.972, 232.978, 280.945, 232.978, 216.983, 232.978, 216.983, 203.952, 139.99, 203.952, 107.99, 139.99, 107.99, 125.003, 139.99, 107.99, 125.003, 280.945, 268.945, 286.956]",274
CN(C)c1ccc(cc1)C(=O)c1ccc(cc1)N(C)C,"[148.076, 269.165, 120.081, 148.076, 79.055, 105.058, 148.076, 105.058, 79.055, 148.076, 91.055, 199.063, 148.076, 91.055]",179
NC(=O)c1ccc[n]c1,"[123.056, 80.05, 96.045]",130
CCCCOC(=O)c1ccccc1C(=O)OCCCC,"[149.023, 205.086, 57.07, 149.024, 205.086, 57.07, 149.023, 57.07, 65.038, 149.024, 57.07, 121.028, 149.024, 121.028, 57.07, 149.024, 121.028, 65.039, 65.039, 149.024, 121.029, 65.039, 121.04, 121.028, 65.039, 53.002, 121.04, 65.039, 53.002, 53.998, 149.024, 121.029, 149.024, 121.029, 149.024, 205.087, 203.06, 149.024, 205.087, 203.06]",-35
Cc1cc(ccc1)C(=O)N(CC)CC,"[192.138, 193.141, 119.048, 119.049, 192.138, 193.141, 119.049, 120.052, 192.137, 119.049, 118.064, 120.051, 119.049, 192.138, 100.076, 119.049, 192.139, 100.076, 192.138, 119.049, 192.139, 119.049, 72.044, 119.049, 192.138, 100.076, 119.049, 192.138, 91.054, 119.049, 91.054, 119.061, 91.054, 119.049, 119.061, 192.138, 119.049, 176.107, 192.138, 119.049, 100.076, 119.049, 192.138, 72.044, 119.049, 192.138, 91.054, 119.049, 91.054, 119.06, 91.054, 119.049, 119.06, 119.049, 192.138, 100.076, 192.138, 119.049, 91.054, 119.049, 91.054, 72.045, 91.054, 65.039, 44.013, 119.049, 192.139, 91.055, 119.049, 91.054, 109.065, 119.049, 192.139, 100.076, 119.049, 100.076, 91.055, 77.039, 105.045, 95.049, 77.039, 105.045, 95.049, 77.039, 105.045, 77.039, 105.045]",-45
O=C1C=C(Oc2ccccc21)c1ccccc1,"[223.075, 121.028, 178.077]",100
O=P(c1ccccc1)(c1ccccc1)c1ccccc1,"[279.093, 219.057, 201.046, 279.093, 57.07, 71.085, 279.093, 57.07, 71.085, 57.07, 219.057, 279.093, 121.028, 219.057, 57.07, 121.028, 65.039, 121.04, 65.039, 121.028, 121.04, 65.039, 121.04, 121.028, 65.039, 53.002, 51.023, 65.039, 53.002, 51.023]",156.5
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,"[267.171, 74.06, 190.087, 267.17, 190.086, 225.123, 145.064, 190.085, 178.085, 145.064, 146.067, 134.059, 145.064, 117.069, 134.06, 225.123, 190.086, 208.097, 267.17, 267.171, 225.123, 190.086, 267.17, 190.086, 145.065, 145.065, 74.06, 190.086, 145.065, 133.065, 74.06, 145.065, 133.065, 107.049, 267.17, 267.171, 225.123, 190.086, 267.17, 190.086, 145.065, 145.065, 74.06, 190.086, 145.065, 133.065, 74.06, 145.065, 133.065, 107.049, 225.123, 190.086, 208.097, 267.171, 190.086, 225.124, 267.171, 74.06, 190.087, 56.05, 145.065, 74.06, 145.065, 190.087, 74.06, 145.065, 133.065, 74.06, 190.087, 225.124, 208.097, 190.087, 225.124, 208.097]",147
CC(CCc1ccccc1)NCC(O)c1cc(c(O)cc1)C(N)=O,"[162.055, 311.176, 91.054]",188
CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,"[142.939, 199.001, 114.961, 96.951, 142.939, 114.961, 96.951, 114.961, 142.938, 215.032, 199.001, 322.976, 215.032, 199.001, 322.976]",-13
CON(C)C(=O)Nc1cc(Cl)c(Cl)cc1,"[159.972, 182.024, 249.019, 182.024, 159.972, 187.966, 249.019, 182.024, 159.971, 159.971, 182.024, 249.019, 159.972, 182.024, 160.979, 159.972, 160.979, 182.024, 132.961, 159.972, 160.979, 132.961, 160.979, 125.003, 249.019, 182.024, 159.971, 159.972, 182.024, 249.019, 159.972, 182.024, 160.979, 159.971, 160.979, 182.024, 132.961, 159.971, 160.979, 132.961, 160.979, 125.003, 182.024, 159.971, 187.966, 159.971, 182.024, 160.979, 132.961, 160.979, 125.003, 182.024, 159.971, 187.966, 182.024, 159.971, 187.966]",93
Nc1cc2cc3ccccc3cc2cc1,"[194.096, 193.089, 177.07]",238.8
CCCCC/C=C\C/C=C\CCCCCCCC(O)=O,"[263.237, 245.226, 97.101, 97.101, 83.085, 69.07, 69.07, 81.07, 83.085, 69.07, 81.07, 95.085, 81.07, 67.054, 69.07, 67.054, 81.07, 91.054]",-8.5
C1COCCN1,"[88.076, 70.065, 68.049]",-4.9
c1cccc2c(cccc21)Nc1ccccc1,"[220.112, 143.073, 92.049, 143.073, 220.113, 92.05, 143.073, 115.055, 128.063, 220.113, 143.074, 205.09, 143.073, 205.089, 203.086]",62
c1[nH]cc[n]1,[69.045],90.5
CC(C)OC(=O)C(C)(C)Oc1ccc(cc1)C(=O)c1ccc(Cl)cc1,"[138.994, 233.036, 121.028, 233.036, 273.067, 319.073, 361.12, 233.036, 138.995, 233.036, 138.994, 121.028, 138.995, 233.036, 121.028, 138.995, 121.028, 233.037, 138.995, 121.028, 139.006, 139.006, 138.994, 121.028, 361.12, 233.036, 319.074, 233.036, 138.994, 121.028, 138.994, 233.036, 121.028, 138.994, 121.028, 233.036, 138.994, 121.028, 139.006, 139.006, 138.994, 121.028, 233.036, 319.073, 273.067]",80.5
CC(C)N(C(=O)COc1[n][n]c([s]1)C(F)(F)F)c1ccc(F)cc1,"[194.097, 364.074, 152.05, 152.05, 194.097, 124.055, 152.05, 124.055, 152.087, 152.05, 124.055, 152.087, 124.055, 152.05, 152.087, 152.051, 194.098, 124.056, 194.097, 152.051, 124.055, 194.097, 152.051, 364.073, 152.051, 194.097, 152.087, 152.051, 124.056, 152.087, 124.056, 152.051, 109.045, 124.056, 109.045, 152.05, 124.056, 97.045, 109.045, 194.097, 152.051, 364.073, 152.051, 194.097, 152.087, 152.051, 124.056, 152.087, 124.056, 152.05, 109.045, 124.056, 109.045, 152.05, 124.056, 97.045, 109.045, 194.097, 152.051, 124.056]",76
Cc1ccccc1OCc1ccccc1/C(=N\OC)/C(=O)OC,"[267.101, 282.112, 206.081, 222.091, 116.05, 282.113, 222.091, 116.049, 131.073, 116.049, 131.073, 222.091, 131.073, 116.049, 194.096, 116.049, 131.073, 89.038, 116.049, 89.038, 131.073, 222.091, 116.049, 132.081, 222.091, 131.073, 116.049, 131.073, 222.091, 116.049, 116.049, 131.073, 222.091, 131.073, 116.049, 130.065, 116.049, 89.038, 130.065, 267.101, 282.112, 206.081]",99
COCC(=O)N(c1c(C)cccc1C)N1CCOC1=O,"[219.113, 102.055, 132.081, 219.113, 133.089, 132.081, 133.089, 132.081, 119.086, 132.081, 133.089, 117.057, 132.081, 133.089, 117.057, 132.081, 117.057, 118.065]",104
CC1CN(/N=C/c2c[n]ccc2)C(=O)NN=1,"[105.045, 107.06, 134.071, 218.103, 105.044, 218.103, 105.045, 107.06, 105.045, 218.104, 107.06, 105.045, 79.042, 107.06, 105.045, 79.042, 111.031, 105.045, 79.042, 78.034, 218.104, 105.045, 218.103, 105.045, 107.06, 105.045, 218.104, 107.06, 105.045, 79.042, 107.06, 105.045, 79.042, 111.031, 105.045, 79.042, 78.034, 105.045, 107.06, 134.071]",217
CCCCCCCCSC(=O)Oc1cc(Cl)[n][n]c1-c1ccccc1,"[207.032, 351.129, 319.157, 207.032, 71.085, 57.07, 207.032, 57.07, 71.085, 207.032, 104.049, 57.07, 104.049, 207.032, 68.013, 68.013, 95.049, 104.049, 68.013, 95.049, 105.045, 68.013, 51.023, 95.049, 51.023, 68.013, 50.015]",27
Nc1c(Cl)c(F)[n]c(OCC(O)=O)c1Cl,"[236.963, 208.968, 196.968, 254.973, 236.963, 208.968, 208.968, 196.968, 236.962, 180.973, 208.968, 196.968, 180.973, 196.968, 208.968, 180.973, 196.968, 163.007, 146.004, 151.946, 180.973, 254.973, 236.962, 208.968, 208.968, 196.968, 236.963, 180.973, 208.968, 196.968, 180.973, 196.968, 208.968, 180.973, 196.968, 163.007, 146.004, 151.946, 180.973, 236.963, 208.968, 196.968]",232
Fc1ccc(cc1)Oc1cc[n]c2cc(Cl)cc(Cl)c21,"[308.004, 196.979, 272.027, 308.004, 196.98, 272.027, 196.979, 213.982, 162.011, 308.004, 272.027, 196.979, 272.027, 196.979, 245.04]",106.7
COC(=O)[C@@H]1C2CCC(C[C@@H]1OC(=O)c1ccccc1)[N@@]2C,"[304.156, 305.158, 182.117, 182.117, 304.156, 305.158, 182.117, 150.09, 183.12, 182.117, 150.09, 119.048, 182.116, 119.048, 150.09, 182.118, 150.091, 272.128, 304.155, 304.154, 182.118, 82.065, 182.118, 82.065, 304.155, 182.118, 105.034, 82.065, 105.034, 82.065, 182.118, 105.034, 82.065, 77.039, 304.154, 182.118, 304.154, 182.118, 82.065, 182.118, 82.065, 304.154, 182.118, 105.034, 82.065, 105.034, 82.065, 91.054, 105.034, 82.065, 77.039, 182.118, 150.091, 272.128]",98
OC(=O)COc1cc2ccccc2cc1,"[157.065, 129.07, 203.07, 157.065, 129.07, 155.06, 157.065, 129.07, 155.06, 129.07, 155.06, 145.065, 155.06, 129.07, 145.065, 155.06, 145.065, 128.062, 155.06, 127.054, 128.062, 95.049, 126.046, 128.062, 75.023, 95.049, 115.054]",156
COc1cc(O)c(cc1S(O)(=O)=O)C(=O)c1ccccc1,"[230.996, 309.043, 135.008]",145
NCCc1ccc(O)cc1,"[121.065, 122.068, 138.091, 121.064, 122.068, 121.065]",164.5
COc1ccc(Cc2c[n]c(N)[n]c2N)cc1OC,"[261.136, 245.104, 123.067, 261.135, 123.066, 246.11, 261.135, 123.067, 246.111, 245.103, 261.135, 123.067, 245.103, 123.067, 217.108, 245.103, 123.067, 81.045, 123.067, 81.045, 245.103, 81.045, 123.067, 54.034, 81.045, 54.034, 95.049, 54.034, 95.049, 89.039]",233
O=C1CN=C(c2cc(Cl)ccc2N1)c1ccccc1,"[271.063, 273.06, 272.066, 271.063, 140.025, 208.099, 140.025, 208.099, 165.02, 140.025, 208.098, 165.02, 271.063, 271.063, 243.068, 140.026, 271.063, 140.026, 243.068, 140.026, 165.021, 208.099, 140.026, 165.021, 208.099, 140.026, 91.054, 165.021, 104.049, 91.054, 190.065, 104.049, 65.038, 75.023, 75.023, 65.038, 104.049]",216.5
O=C(c1ccccc1)c1ccc(Cl)cc1,"[217.042, 138.994, 105.034, 138.994, 217.042, 105.034, 138.994, 105.034, 217.042, 138.994, 105.034, 139.006, 138.995, 139.006, 105.034, 139.006, 138.995, 129.01, 75.023, 139.006, 95.049, 75.023, 74.015, 139.006, 75.023, 74.015, 50.015]",77.5
c1cccc2[n]c3ccccc3[n]c21,"[181.076, 111.023, 121.008]",176.5
CCOc1cc2[s]c(S)[n]c2cc1,"[212.02, 183.989, 151.009]",199
c1cc[n][nH]1,[69.045],68
CCCCP(=O)(CCCC)CCCC,"[219.187, 78.023, 92.038, 219.187, 78.023, 92.038, 219.187, 163.125, 78.023, 219.187, 163.125, 92.038, 219.187, 78.023, 92.039, 78.023, 92.039, 62.999, 62.999, 78.023, 95.026, 62.999, 95.026, 77.015, 62.999, 95.026, 77.015]",64
c1cc2[n]cccc2c2ccc[n]c21,"[181.076, 111.023, 121.007]",177
NC(=O)NC1NC(=O)NC1=O,"[99.019, 100.027]",238
COP(=S)(OC)SCN1N=Nc2ccccc2C1=O,"[142.993, 132.044, 260.981, 132.044, 142.993, 260.981, 142.993, 132.044, 104.049, 142.993, 132.044, 104.05, 142.993, 95.049, 105.034, 95.049, 105.045, 78.994, 95.049, 105.045, 77.039, 51.023, 95.049, 77.039, 51.023, 50.015, 95.049, 51.023, 50.015, 74.015]",73
CCCCOC(=O)c1ccc(O)cc1,"[95.049, 139.039, 121.028, 83.06, 109.04, 121.028, 139.039, 151.075, 139.039, 151.075]",68.5
CC(=O)c1cc(ccc1OCC(O)CNC(C)(C)C)NC(=O)N(CC)CC,"[380.255, 307.165, 324.192, 251.103, 307.165, 306.181, 74.06, 74.096, 251.103, 74.06, 74.096, 100.076, 74.06, 74.096, 56.05, 74.06, 56.05, 74.096]",111
C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,"[149.022, 393.208, 373.202, 149.022, 355.191, 167.035, 149.022, 237.126, 149.022, 171.079, 147.082, 149.023, 150.027, 373.201, 355.19, 337.18, 373.201, 355.19, 337.18, 237.127, 355.19, 279.174, 147.081, 237.127, 171.081, 147.081, 121.065, 171.08, 147.081, 121.065, 119.085, 121.065, 91.054, 105.07, 373.201, 355.19, 337.18, 237.127, 355.19, 279.174, 147.08, 237.127, 171.08, 147.08, 121.065, 171.081, 121.065, 147.08, 119.085, 121.065, 91.054, 128.062, 373.201, 355.19, 337.18]",247.5
CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@@]21C,"[167.085, 165.07, 152.062, 373.286, 305.259, 306.263, 95.085, 93.07, 81.07, 305.259, 373.286, 355.275, 305.259, 355.275, 306.263]",253
CC(C)Nc1[n]c(Cl)[n]c(NC(C)C)[n]1,"[188.07, 146.023, 152.118, 230.117, 230.117, 188.07, 146.023, 188.07, 230.117, 146.023, 146.023, 188.07, 104.001, 146.023, 104.001, 79.006, 146.023, 104.001, 79.006, 230.117, 188.07, 146.023, 230.117, 188.07, 146.023, 188.07, 230.117, 146.023, 146.023, 188.07, 104.001, 146.023, 104.001, 79.006, 146.023, 104.001, 79.006, 188.07, 146.023, 152.118]",213
O=C(Oc1ccccc1)c1ccccc1C(=O)Oc1ccccc1,"[225.054, 77.038, 225.055, 77.038, 153.07, 225.055, 95.049, 105.045, 95.049, 105.045, 77.038, 95.049, 105.045, 77.038, 95.049, 77.038, 105.045, 51.023, 77.038, 95.049, 51.023, 50.015, 77.038, 51.023, 50.015, 77.038]",73
CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,"[97.065, 315.234, 109.067, 315.234, 316.237, 297.223, 256.092, 123.081, 315.234, 256.092, 123.081, 145.102, 123.081, 131.086, 145.102, 315.234, 316.237, 317.24, 97.065, 315.232, 109.065, 97.065, 109.065, 123.08, 109.065, 97.065, 81.07, 97.065, 109.065, 79.054, 97.065, 109.065, 79.054, 109.064, 97.065, 123.08, 109.064, 97.064, 81.07, 297.221, 279.21, 97.065, 297.221, 279.21, 97.065]",121
COc1cc(O)c(cc1)C(=O)c1ccccc1O,"[121.028, 245.081, 151.039, 121.028, 151.039, 93.033, 65.039, 121.028, 93.034]",68
COc1cc(O)c(cc1)C(=O)c1ccccc1,"[151.039, 229.086, 105.033, 151.039, 229.086, 105.034, 151.039, 105.034, 77.039, 229.086, 151.039, 105.034, 229.086, 151.039, 105.034, 151.039, 105.034, 229.086, 151.039, 105.034, 95.049, 151.039, 105.034, 95.049, 151.039, 95.049, 105.034, 229.086, 151.039, 105.033, 229.086, 151.039, 105.034, 151.039, 105.034, 229.086, 151.039, 105.034, 95.049, 151.039, 105.034, 95.049, 151.039, 95.049, 105.034, 151.039, 105.034, 77.039, 229.086, 151.039, 105.034, 151.039, 105.034, 77.039, 77.039, 95.049, 151.039]",65.5
Oc1ccc(cc1)S(=O)(=O)c1ccc(O)cc1,"[251.037, 156.995, 121.04, 121.039, 156.995, 109.028, 121.039, 93.033, 109.028, 156.995, 251.037, 109.028, 156.995, 109.028, 121.039]",240.5
COC(=O)c1ccccc1C(=O)OC,"[163.039, 195.065, 163.039, 133.028, 77.038, 163.039, 133.029, 135.044, 163.039, 135.044, 133.028, 163.039, 135.044, 133.029, 95.049, 77.039, 105.045, 92.026, 77.038, 95.049, 92.026, 63.023, 77.038, 63.023, 51.023, 64.031]",5.5
NC1=NC(=O)NC=C1F,"[130.041, 131.044, 113.014, 130.041, 113.015, 112.031, 113.015, 130.042, 130.041, 87.035, 113.014, 130.041, 87.035, 113.015, 130.041, 113.015, 87.035, 130.041, 113.015, 87.035, 130.041, 113.015, 87.035, 113.015, 130.041, 58.009]",296
Cc1cc(cc(C)c1)OCC1CNC(=O)O1,"[161.096, 56.05, 135.081, 161.096, 56.05, 135.081, 56.05, 161.096, 133.101, 56.05, 105.07, 133.101, 56.05, 105.07, 79.054, 105.07, 79.054, 56.05]",122
CC(C)(C)NCC(O)COc1cccc2C[C@@H](O)[C@@H](O)Cc21,"[310.201, 254.139, 236.129, 254.139, 310.201, 236.128, 201.091, 74.06, 236.128, 74.06, 201.091, 171.081, 74.06, 145.065, 56.05, 74.06, 145.065, 56.05]",130
CCN1C=C(C(O)=O)C(=O)c2c[n]c([n]c12)N1CCNCC1,"[304.14, 217.108, 260.151, 304.14, 217.108, 260.151, 217.108, 304.14, 189.077, 217.108, 189.077, 304.14, 189.077, 217.108, 233.067, 189.077, 148.05, 162.066]",254
COc1c(cc(Cc2c[n]c(N)[n]c2N)cc1OC)OC,"[230.117, 123.067, 261.099, 291.146, 230.117, 291.146, 123.067, 261.098, 291.145, 261.098, 230.116, 261.098, 275.114, 230.116, 123.067, 261.098, 257.103, 123.067, 81.045, 229.109, 291.146, 261.097, 291.146, 123.067, 261.098, 291.146, 261.098, 230.116, 261.098, 275.114, 123.067, 123.067, 261.098, 257.103, 123.067, 81.045, 229.108, 230.117, 123.067, 261.098, 261.099, 230.117, 275.114, 123.067, 229.109, 110.059, 291.146, 230.117, 123.067, 230.117, 123.067, 261.099]",201
CC(C)C1(C)N=C(NC1=O)c1[n]c2ccccc2cc1C(O)=O,"[312.134, 270.087, 294.123, 312.134, 267.113, 270.087, 199.05, 267.113, 252.077, 199.05, 69.07, 86.096, 181.04, 69.07, 197.071, 181.04, 153.045, 146.06, 146.06, 129.045, 153.045, 75.023, 129.045, 128.049, 75.023, 129.045, 74.015]",221
CC(C)NC(=O)N1CC(=O)N(c2cc(Cl)cc(Cl)c2)C1=O,"[244.988, 330.041, 287.994, 244.988, 216.993, 287.994, 244.988, 161.987, 173.987, 173.987, 56.013, 161.987, 173.987, 56.013, 161.987, 56.013, 173.987, 98.984]",136
C[Si](C[n]1c[n]c[n]1)(c1ccc(F)cc1)c1ccc(F)cc1,"[316.108, 165.07, 185.076, 247.075, 169.048, 165.07, 316.107, 316.107, 169.048, 247.075, 165.07, 169.048, 247.075, 165.07, 77.039, 185.076, 165.07, 77.038, 219.043, 165.07, 109.045, 77.039, 316.107, 169.048, 187.058, 316.107, 169.048, 247.075, 165.07, 169.048, 247.075, 165.07, 77.039, 185.076, 165.07, 77.038, 219.043, 165.07, 109.045, 77.039, 247.075, 169.048, 165.07, 165.07, 219.043, 169.048, 165.07, 109.045, 152.062, 247.075, 169.048, 165.07, 247.075, 169.048, 165.07]",54
CC(C)Oc1cc(c(Cl)cc1Cl)N1N=C(OC1=O)C(C)(C)C,"[303.03, 219.956, 176.951, 303.03, 345.077, 219.956, 219.956, 303.03, 176.951, 176.951, 184.988, 219.956, 184.987, 176.951, 148.956, 184.988, 176.951, 148.956, 112.979, 148.956, 128.998, 84.984, 94.029, 112.979, 84.984, 53.002, 62.963, 53.002, 84.984, 62.963]",90
CCNc1[n]c(NC(C)(C)C)[n]c([n]1)SC,"[186.081, 242.143, 91.032, 186.081, 171.057, 242.143, 242.144, 186.083, 227.119, 242.144, 186.081, 186.081, 242.144, 91.032, 186.081, 91.033, 138.078, 186.081, 91.032, 68.024, 68.024, 96.056, 91.032, 242.143, 186.081, 227.12, 242.143, 186.081, 227.12, 186.081, 242.143, 91.032, 186.081, 91.032, 158.049, 186.081, 91.032, 68.024, 68.024, 91.032, 96.056, 186.081, 171.057, 242.143]",104
Nc1ccc(O)cc1,"[110.06, 92.049, 65.039]",187.5
COc1cc(ccc1N)-c1cc(OC)c(N)cc1,"[230.106, 213.103, 215.082, 187.087, 198.079, 215.082, 230.106, 213.103, 214.111, 230.106, 213.103, 214.111]",137
Nc1ccc(cc1)S(=O)(=O)Nc1cccc[n]1,"[156.012, 184.088, 250.066, 156.012, 184.087, 108.044, 250.065, 156.011, 184.086, 250.065, 156.011, 184.087, 156.011, 108.044, 184.087, 108.044, 92.049, 184.087, 108.044, 92.049, 95.06, 92.049, 108.044, 65.039, 250.065, 156.011, 184.088, 250.065, 156.011, 184.087, 156.011, 108.044, 184.087, 108.044, 92.049, 184.087, 108.044, 92.049, 95.06, 92.049, 108.044, 65.039, 156.011, 184.087, 108.044, 108.044, 92.049, 156.012, 92.049, 108.044, 95.06, 156.012, 184.087, 108.044, 156.012, 184.087, 108.044]",192
O=C1NC(=O)c2ccccc12,"[130.029, 80.022, 101.038]",238
CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(O)=O,"[138.994, 121.065, 316.11, 316.11, 276.078, 344.104, 362.115, 316.109, 276.078, 138.994, 316.11, 276.079, 138.994, 121.065, 161.096, 138.994, 121.065, 93.07, 138.994, 121.065, 139.006, 139.006, 138.994, 121.065, 362.115, 316.109, 276.078, 138.994, 316.11, 276.078, 138.994, 121.065, 161.096, 138.994, 121.065, 139.006, 138.994, 121.065, 139.006, 139.006, 138.994, 121.065, 316.11, 276.078, 344.104]",186
Nc1ccccc1-c1ccccc1,"[170.096, 153.07, 143.085]",51
CNC(=O)Oc1cc(C)c(SC)c(C)c1,"[121.065, 169.068, 122.073, 169.068, 121.065, 122.073, 169.068, 121.065, 226.09, 169.068, 121.065, 122.073, 121.065, 169.068, 122.073, 121.065, 122.073, 93.07, 121.065, 122.073, 93.07, 121.065, 107.049, 122.073, 169.068, 121.065, 226.09, 169.068, 121.065, 122.073, 121.065, 169.068, 122.073, 121.065, 122.073, 93.07, 121.065, 122.073, 93.07, 121.065, 107.049, 122.073, 169.068, 121.065, 122.072, 121.065, 122.073, 91.054, 121.065, 122.073, 91.054, 169.068, 121.065, 148.076, 169.068, 121.065, 148.076]",120
COc1cccc(C(=O)NN(C(=O)c2cc(C)cc(C)c2)C(C)(C)C)c1C,"[313.154, 149.059, 313.154, 133.064, 149.06, 133.065, 313.146, 149.06, 133.065, 93.07, 149.06, 133.065, 91.054, 91.054, 105.07, 149.06, 91.054, 105.07, 119.06, 149.06, 313.154, 133.065, 149.06, 133.065, 149.06, 133.065, 91.054, 149.06, 133.065, 91.054, 91.054, 105.07, 149.06, 91.054, 105.07, 79.054, 313.154, 149.059]",204.5
