SMILES,logk
C=C1C(=O)N[C@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(=O)O)[C@H](C)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](/C=C/C(C)=C/[C@H](C)[C@H](Cc2ccccc2)OC)[C@H](C)C(=O)N[C@@H](C(=O)O)CCC(=O)N1C,2.079181246
CC1(C)CC(=O)C(Cl)C(=O)C1,6.556302501
NC(=O)CI,0.605065501
CN(C)CC(=O)O,4.698970004
CC(=O)N[C@@H](Cc1c[nH]cn1)C(=O)O,4.903089987
COC(=O)[C@H](CCCNC(=N)N)NC(C)=O,1.505149978
CC(=O)N[C@@H](CS)C(=O)O,7.462397998
CC(=O)NC(CCCCN)C(=O)O,3.897627091
CC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,3.892094603
CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O,1.672097858
CC(C)(C)NCC(O)COc1cccc2c1C[C@H](O)[C@H](O)C2,-0.638272164
CCCCN,8.212187604
O=C(O)CNCl,2.444044796
O=C(O)CNC(=O)CNCl,0.939519253
CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1Oc1ccccc1,2.361727836
CN(C)[C@@H]1C([O-])=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c([O-])cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12,6.686636269
C[NH+](C)[C@@H]1C([O-])=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c([O-])cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12,6.859138297
C[NH+](C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12,7.103803721
Nc1ccc(C(=O)O)cc1,3.633468456
CC(=O)Nc1ccc(O)cc1,2.176091259
[O-]c1ccccc1,4.340444115
NCCOP(=O)([O-])O,4.255272505
C[N+](C)(C)CCOP(=O)([O-])O,2.255272505
NC(COP(=O)([O-])O)C(=O)O,4.51851394
CCC(N)=O,-1.387216143
CCCN,8.26245109
CC(=O)C(=O)O,0.336459734
CC(=O)C(=O)[O-],0.336459734
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,5.146128036
NC(CO)C(=O)O,5.230448921
Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1,-0.37675071
Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,-0.102372909
Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1,-0.698970004
Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,2.979997419
Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,-0.187086643
Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,0.276461804
CC(C)(C)N,3.397940009
CC(C)(C)N,7.7355989
CN1/C(=C(\O)Nc2ccccn2)C(=O)c2sccc2S1(=O)=O,3.602059991
C[NH+](C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)C3CC12,7.049218023
C[NH+](C)[C@@H]1C([O-])=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c([O-])cccc4[C@@](C)(O)C3CC12,6.451786436
O=C([O-])CS,9.838849091
NC(N)=S,9.517193892
NC(=O)C(Br)(Br)Br,2.022336709
NC(=O)C(Cl)(Cl)Cl,2.199572355
N#CC(Cl)(Cl)Cl,1.035874257
[O-]c1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,3.73239376
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,1.763427994
CCC(=O)N(C)C,-2.096910013
CN(C)C,4.698970004
Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)O)O2,3.113943352
COc1c(O)cc(C)c(O)c1OC,3.113943352
CC(C)C(N)C(=O)O,4.86923172
CC(=O)/C=C/C1C(C)=CCCC1(C)C,1.44870632
C[C@]12CC[C@@H]3c4ccc([O-])cc4CC[C@H]3[C@@H]1CC[C@@H]2O,5.561101384
CC(=O)/C=C/C1=C(C)CCCC1(C)C,1.079181246
NCCCCCC(=O)O,3.672097858
